drug_id,drug_name,drug_smiles
D0RA5Q,Bestatin,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O
D20IMG,LAM-003,
D5VRX2,Dociparstat sodium,
D09NTC,CC-486,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
D05XDZ,LMT-X,
D0F2JS,CHR-2797,CC(C)CC(C(C(=O)NO)O)C(=O)NC(C1=CC=CC=C1)C(=O)OC2CCCC2
DN5CM6,Magrolimab,
DOJG79,SEL120,CC1=C2C3=C(CCCN3C(=N2)N4CCNCC4)C(=C1Br)Br.Cl
D06OES,CART-38 cells,
D0UJ3C,CD38-specific gene-engineered T cells,
D0V6WU,CAR-T cells targeting CD38,
D0S7LG,ARN-509,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F
DFC0V4,CB-5339,
D07NPS,Zarnestra,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
D0I5DP,AMG 176,CC1CC=CC(C2CCC2CN3CC4(CCCC5=C4C=CC(=C5)Cl)COC6=C3C=C(C=C6)C(=O)NS(=O)(=O)C1C)OC
D7LC8N,MIK665,CC1=C(C=CC(=C1Cl)OCCN2CCN(CC2)C)C3=C(SC4=NC=NC(=C34)OC(CC5=CC=CC=C5OCC6=NC(=NC=C6)C7=CC=CC=C7OC)C(=O)O)C8=CC=C(C=C8)F
D0V5JH,ALT-801,
D0Q5GK,MG7-CART,
D09WOY,SB-559457,
D09TGX,Valspodar,CC=CCC(C)C(=O)C1C(=O)NC(C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C
D08UVN,Anti-CEA CAR-T cells,
D03EOZ,IMG-7289,CN1CCN(CC1)C(=O)C(CCCNC2CC2C3=CC=C(C=C3)F)NC(=O)C4=CC=C(C=C4)N5C=CN=N5
D0R7CD,INCB59872,
DI17KH,TAS-1440,
D03MXK,AT-406,CC(C)CC(=O)N1CCC2CCC(N2C(=O)C(C1)NC(=O)C(C)NC)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4
DCT2Q3,Annamycin,CC1C(C(C(C(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)CO)O)I)O)O
DS4JE8,KO-539,CC1=C(C=CC2=C1C=C(N2CC(C)N3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC(=N5)NC)CC(F)(F)F
D0LG8T,DS-3201,CC1=NC=C(N1)CCN2C(=O)C3=CC=CC=C3C2=O
DNM79H,DS-3201b,CC1=CC(=C(C(=O)N1)CNC(=O)C2=CC(=C3C(=C2C)OC(O3)(C)C4CCC(CC4)N(C)C)Cl)C
D04WHM,G0-203-2c,
D07OAD,GO-203-2c,
D0DJ8S,CART-Muc1 cells,
D0IQ3E,Muc1-specific gene-engineered T cells,
D0JW9E,CAR-T cells targeting Mucl,
D0K7FT,AG-221,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O
D0K9PC,AG-881,CC(C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)NC(C)C(F)(F)F
D0WH4P,ENASIDENIB MESYLATE,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O.CS(=O)(=O)O
D01XWG,Daunorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
D0KE1F,DFP-10917,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)C#N
DT3BA1,CG-806,CC1=CN=C(N1)C2=C3C(=C(C=C2)C4=C(C=C(C=C4)NC(=O)NC5=CC=CC(=C5)C(F)(F)F)F)CNC3=O
D06DCL,LY335979,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5C6C(C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl
D08NZG,Ifabotuzumab,
D02AAO,AZD-4877,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4)C(C)C
D0W9SL,LY2523355,CCNCCS(=O)(=O)NCC1(N(N=C(S1)NC(=O)C(C)(C)C)C(=O)C(C)(C)C)C2=CC=CC=C2
D02ZXM,Thioguanine,C1=NC2=C(N1)C(=S)N=C(N2)N
D02JEW,GSK-2130579A,
D02MLO,WT1-targeted autologous dendritic cell vaccine,
D0P2ZY,INNO-305,
D0RG8Z,FPI-01,
D0RX7Z,DEOXYCYTIDINE,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
DM9GO4,IO-202,
D0L3KA,BP-100-1-01,
D74BRK,BGB-11417,
DBY42T,LP-108,
DP63FS,VOB560,
D05LGX,Fipamezole,CCC1(CC2=C(C1)C=C(C=C2)F)C3=CN=CN3
D0R8IE,Inecalcitol oral,CC(CC#CC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C
D0T9SJ,CEP-4186,
D0I7PU,Lirilumab,
D08YHE,NKR-2 CAR-T Cells,
D0NC9M,CM-CS1 T-cell,
D0QR2K,NKR-2 cells,
D04JSI,CAR-T cells targeting CD133,
D01KKI,SGN-CD33A,
D03HSA,Actimab-A,
D04MGW,BI-836858,
D06EWO,Gemtuzumab ozogamicin,
D0C4GN,CD33-CAR-T Cell,
D0G9MY,CD33-specific gene-engineered T cells,
D0IJ1D,HuM-195-Bi-213,
D0JT0U,CAR-T cells targeting CD33,
D0LP7U,AMV564,
D0P6YN,CART-33 cells,
D0TV6H,HuM-195-Ac-225,
D0W2BF,Vadastuximab talirine,CC(C)C(C(=O)NC(C)C(=O)NC1=CC=C(C=C1)C2=CN3C(C2)C=NC4=CC(=C(C=C4C3=O)OC)OCCCOC5=C(C=C6C(=C5)N=CC7CC(=CN7C6=O)C8=CC=C(C=C8)OC)OC)NC(=O)CCCCCN9C(=O)CC(C9=O)SCC(C(=O)O)N
D5T9GZ,CLL1-CD33 cCART cell therapy,
D8AOC1,AMG 330,
D9OZ3B,JNJ-67571244,
DB4C5H,CD123-CD33 Ccar,
DNS2P1,AMG 673,
DQD1T2,GEM333,
DSI4G9,225Ac-labelled aCD33,
DMKG40,SAR443579,
D01LVE,CPI-0610,CC1=NOC2=C1C3=CC=CC=C3C(=NC2CC(=O)N)C4=CC=C(C=C4)Cl
D02YNI,OTX-015,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C
D05ICT,ABBV-744,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C
D07GHA,PLX2853,
D00BYM,Volasertib,CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C
D03HUX,PCM-075,CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)CCO
D0O0LQ,BI 2536,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
DK26FL,CYC140,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5
D08BBL,Iomab-B,
DC8EN0,131I-labelled aCD45,
D0LF1U,Flavopiridol,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
D08MKR,DT388IL-3,
D0JF9Z,CSL-362,
D0Z2ZY,SL-401,
DVZ6M1,BI 7273,CN1C=C(C2=C(C1=O)C=NC=C2)C3=CC(=C(C(=C3)OC)CN(C)C)OC
D0OQ5R,IGN523,
D0P5IZ,BI-811283,
D00ABO,KW-2449,C1CN(CCN1)C(=O)C2=CC=C(C=C2)C=CC3=NNC4=CC=CC=C43
D07NVU,Midostaurin,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC
D0S5FF,BYM338,
D0FD7H,ALT-803,
D0X8ID,SEL-24,
D00LNW,Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
D00RYU,IPH-2102,
D0J1GR,CP-868596,CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4
D07AYI,CWP232291,
D0VH4T,ONO-7475,
D0IM6T,Tisagenlecleucel,
D0E0SH,CART-117 cells,
D0TS2B,CAR-T cells targeting CD117,
D0M2TS,Mivebresib,CCS(=O)(=O)NC1=CC(=C(C=C1)OC2=C(C=C(C=C2)F)F)C3=CN(C(=O)C4=C3C=CN4)C
D2GY5C,APVO436,
D7QHV6,ABBV-184,
D91CMX,AMG 427,
D9TG4H,JNJ-63709178,
DHWF68,RG6007,
DL1FG3,SAR440234,
D07NVI,CPI-613,C1=CC=C(C=C1)CSCCC(CCCCC(=O)O)SCC2=CC=CC=C2
D0N3XT,BREQUINAR,CC1=C(C2=C(C=CC(=C2)F)N=C1C3=CC=C(C=C3)C4=CC=CC=C4F)C(=O)O
D08FIX,OTSSP167,CC(=O)C1=CN=C2C=CC(=NC2=C1NC3CCC(CC3)CN(C)C)C4=CC(=C(C(=C4)Cl)O)Cl
D0G9AW,GS-9973,C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6
DI1VM3,HM43239,
D0L2UQ,Pracinostat,CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)C=CC(=O)NO
D0V0SL,Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO
D08ABX,CAR-T cells targeting CD34,
D0NY1Y,CART-34 cells,
D0X7CV,PTX-200,
D6H9TE,SEA-CD70,
D0I7IB,Sodium butyrate,CCCC(=O)[O-].[Na+]
D07DCG,Ivosidenib,C1CC(=O)N(C1C(=O)N(C2=CC(=CN=C2)F)C(C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N
D07VYP,Olutasidenib,CC(C1=CC2=C(C=CC(=C2)Cl)NC1=O)NC3=CC=C(N(C3=O)C)C#N
D0Z1DH,LY2090314,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
D00QWK,CLL1-specific gene-engineered T cells,
D04GGG,CD123/CLL1 CAR-T Cells,
D0RF4J,CLL1 CAR-T Cell,
D4UQ2B,KITE-222,
DW01LJ,CLT030,
D07TWK,TCN-P,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)COP(=O)(O)O)O)O)C(=N1)N
D00HAN,IM23,
D04MLR,CD123-specific gene-engineered T cells,
D07MGC,Talacotuzumab,
D0AW4T,CART-123 cells,
D0C3JB,MB-102,C(C(C(=O)O)NC(=O)C1=C(N=C(C(=N1)N)C(=O)NC(CO)C(=O)O)N)O
D0H8UT,Autologous Anti-CD 123 CAR TCR/4-1BB-expressing T-lymphocytes,
D0JX7M,CD123CAR-41BB-CD3zeta-EGFRt-expressing T cells,
D0N4VG,CAR-T cells targeting CD123,
D0N6PE,CART-123 cells,
D0R5NU,CART123 cells,
D0R7NI,Tagraxofusp,
D0YA1B,Flotetuzumab,
D0Z7QK,UCART123,
D03PWD,GMI-1271,CCC1CC(CC(C1OC2C(C(C(C(O2)C)O)O)O)OC3C(C(C(C(O3)CO)O)OC(CC4CCCCC4)C(=O)O)NC(=O)C)C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC
D0M0OT,Leukemia cancer vaccine,
D0V2ZC,SEL24,
D04KZY,Gilteritinib,CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5
D07KYT,Quizartinib,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3
D07ZNF,IMC-EB10,
D0D0TQ,AKN-028,C1=CC2=C(C=CN2)C=C1NC3=NC(=CN=C3N)C4=CC=NC=C4
D0V9WF,Lestaurtinib,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
D0YQ9I,FF-10101-01,
D28HJI,FF-10101,CCCNC1=NC(=NC=C1C#CCCCNC(=O)C(C)N(C)C(=O)C=CCN(C)C)NC2=CC=C(C=C2)C#N
DIA08F,SKI-G-801,
D01CEQ,CER-227185,
D0T6IN,Peginterferon lambda-1a,
D0S7HM,ENMD-2076,CC1=CC(=NN1)NC2=CC(=NC(=N2)C=CC3=CC=CC=C3)N4CCN(CC4)C
D0OY9L,ALXN6000,
D0K4VW,Cenersen,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)(O)OC3CC(OC3COP(=S)(O)OC4CC(OC4COP(=S)(O)OC5CC(OC5COP(=S)(O)OC6CC(OC6COP(=S)(O)OC7CC(OC7COP(=S)(O)OC8CC(OC8COP(=S)(O)OC9CC(OC9COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1CO)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)(O)OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OC)OP(=S)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)OC)OP(=S)(O)OCC1C(C(C(O1)N1C=CC(=NC1=O)N)OC)O
D0X9VR,BGB-324,
D0Y5QA,AVB-S6-500,
D0ZA1K,BPX-701,
D0V5AL,LC-1,
D03UBW,Ficlatuzumab,
D0I6RI,GRNVAC1,
D03HML,CD56-specific gene-engineered T cells,
D0V6WW,CAR-T cells targeting CD56,
D0YH5L,CART-56 cells,
D0A1IL,VAL-083,C1C(O1)C(C(C2CO2)O)O
D0J9UN,Uracil mustard,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
D02BVW,FF-10501-01,
D0C6GK,EPZ-5676,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C
D0KS6F,IRX-2,
D0A2BO,S-110,
D0Q5KZ,SGI110,[H-].C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OC4CC(OC4CO)N5C=NC(=NC5=O)N)O.[Na+]
D0C6RM,BAY1436032,CC1CC(CC(C1)(C)C)N2C3=C(C=C(C=C3)CCC(=O)O)N=C2NC4=CC=C(C=C4)OC(F)(F)F
D0B5HS,NLG8189,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N
D0HY3D,SY-1425,
D0LC5L,PF-06747143,
D0T6CN,Motixafortide,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CCCCN)CCCCN)CCCNC(=O)N)CC3=CC=C(C=C3)O)NC(=O)C(CC4=CC5=CC=CC=C5C=C4)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C6=CC=C(C=C6)F)C(=O)NC(CCCNC(=N)N)C(=O)N)CCCNC(=O)N)CCCNC(=N)N)CC7=CC=C(C=C7)O
D0Z8JR,BMS-936564,
D00NVM,SNS-595,CNC1CN(CC1OC)C2=NC3=C(C=C2)C(=O)C(=CN3C4=NC=CS4)C(=O)O
D01UBX,Aclarubicin,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O
D01XDL,Idarubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
DB5O1U,H3B-8800,CC1C=CC(C(CCC(CC(=O)OC1C(=CC=CC(C)C2=CC=CC=N2)C)O)(C)O)OC(=O)N3CCN(CC3)C
D09JYL,Hu5F9-G4,
DI8WC4,CC-90002,
D4UFT5,2-D08,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=C(C(=C(C=C3)O)O)O
D0YM2K,Atezolizumab,
D0K4MH,Tapentadol hydrochloride,CCC(C1=CC(=CC=C1)O)C(C)CN(C)C.Cl
D08ZEB,Chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2
D02LDN,Magnesium Sulfate,[O-]S(=O)(=O)[O-].[Mg+2]
DK8BS7,BAY1097761,
D00QBV,DD7,
D01NJE,ED45,
D0G1SN,ED1,CC(C)(C)OC(=O)N1CCC(CC1)CN(CCN(CC2=CN=CN2C)C3=CC=C(C=C3)C#N)S(=O)(=O)C4=CC=CC=C4C5=CC=CC(=C5)CCC(=O)O
D0B7YT,Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4
D0M7LV,LYSERGIC ACID DIETHYLAMIDE,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
D06CWZ,CAR-CLD18 T cell,
D05MOZ,G-202,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCCCCCCCCCCNC(=O)CC(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)N)(C(C(=O)O3)(C)O)O
D0W6LI,Cosyntropin,CC(C)C(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)O)NC(=O)C4CCCN4C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC8=CNC=N8)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C(CO)N
D0H2UB,Suramin,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
D0X7JR,Eflornithine,C(CC(C(F)F)(C(=O)O)N)CN
DU10JI,CTP-543,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
D0E3EK,NP-619,
D0H2DS,PTH(7-34) liposomal cream,CC(C)CC(C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(C(C)C)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)O)C(=O)NC(CC2=CC=CC=C2)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC5=CN=CN5)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(=O)N)NC(=O)C(CC6=CN=CN6)NC(=O)C(CCSC)NC(=O)C(CC7=CC=CC=C7)N
D02TUL,Ritlecitinib,CC1CCC(CN1C(=O)C=C)NC2=NC=NC3=C2C=CN3
D6INZ9,ATI-501,
D6N5UC,ATI-502,CC1=CC(=CC(=C1F)OC)NC2=NC=C(C(=N2)NC3=CC4=C(C=C3)OC(=O)N4)C
D06AVN,CS-891B,
D0O8SY,GI-197111,
DD3IE7,ENERGI-F701,
D0Q2XF,Bimatoprost,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
D0Q5QE,AN-10,CCOC(=O)C1CC(NC2=CC=CC=C2N1)C
D0E2QC,RK-023,
D0I9AC,SM04554,
DVT3F8,BBI-5000,
D0S7KA,(-)-deprenyl,
DR7EV6,ARO-AAT,
