target_id,pathway_name
T89534,Prolactin signaling pathway
T89534,Thyroid hormone signaling pathway
T89534,Endocrine and other factor-regulated calcium reabsorption
T89534,Proteoglycans in cancer
T95302,Neuroactive ligand-receptor interaction
T34743,
T00176,FoxO signaling pathway
T00176,Cell cycle
T00176,p53 signaling pathway
T00176,Ubiquitin mediated proteolysis
T00176,Endocytosis
T00176,PI3K-Akt signaling pathway
T00176,Thyroid hormone signaling pathway
T00176,Epstein-Barr virus infection
T00176,Pathways in cancer
T00176,Transcriptional misregulation in cancer
T00176,Viral carcinogenesis
T00176,Proteoglycans in cancer
T00176,MicroRNAs in cancer
T00176,Glioma
T00176,Prostate cancer
T00176,Melanoma
T00176,Bladder cancer
T00176,Chronic myeloid leukemia
T01232,
T02262,
T03634,cAMP signaling pathway
T03634,HIF-1 signaling pathway
T03634,FoxO signaling pathway
T03634,Cell cycle
T03634,Wnt signaling pathway
T03634,Notch signaling pathway
T03634,TGF-beta signaling pathway
T03634,Adherens junction
T03634,Jak-STAT signaling pathway
T03634,Long-term potentiation
T03634,Melanogenesis
T03634,Thyroid hormone signaling pathway
T03634,Glucagon signaling pathway
T03634,Huntington's disease
T03634,Tuberculosis
T03634,Hepatitis B
T03634,Influenza A
T03634,HTLV-I infection
T03634,Herpes simplex infection
T03634,Epstein-Barr virus infection
T03634,Pathways in cancer
T03634,Viral carcinogenesis
T03634,MicroRNAs in cancer
T03634,Renal cell carcinoma
T03634,Prostate cancer
T03691,Arachidonic acid metabolism
T03691,Metabolic pathways
T03963,
T04773,Cytokine-cytokine receptor interaction
T04773,Chemokine signaling pathway
T04773,NF-kappa B signaling pathway
T04773,Axon guidance
T04773,Leukocyte transendothelial migration
T04773,Intestinal immune network for IgA production
T04773,Pathways in cancer
T04773,Rheumatoid arthritis
T06273,Base excision repair
T06273,NF-kappa B signaling pathway
T08014,
T08743,
T10191,Cell adhesion molecules (CAMs)
T10191,Antigen processing and presentation
T10191,Hematopoietic cell lineage
T10191,T cell receptor signaling pathway
T10191,Primary immunodeficiency
T10822,
T10877,Nicotinate and nicotinamide metabolism
T10877,Metabolic pathways
T10877,Calcium signaling pathway
T10877,Hematopoietic cell lineage
T10877,Oxytocin signaling pathway
T10877,Salivary secretion
T10877,Pancreatic secretion
T10877,Epstein-Barr virus infection
T12646,Protein processing in endoplasmic reticulum
T12646,Legionellosis
T13127,Terpenoid backbone biosynthesis
T13127,Biosynthesis of antibiotics
T14912,PI3K-Akt signaling pathway
T14912,MicroRNAs in cancer
T15610,
T15739,MAPK signaling pathway
T15739,Sphingolipid signaling pathway
T15739,Cell cycle
T15739,p53 signaling pathway
T15739,PI3K-Akt signaling pathway
T15739,Apoptosis
T15739,Wnt signaling pathway
T15739,Neurotrophin signaling pathway
T15739,Thyroid hormone signaling pathway
T15739,Amyotrophic lateral sclerosis (ALS)
T15739,Huntington's disease
T15739,Hepatitis C
T15739,Hepatitis B
T15739,Measles
T15739,HTLV-I infection
T15739,Herpes simplex infection
T15739,Epstein-Barr virus infection
T15739,Pathways in cancer
T15739,Transcriptional misregulation in cancer
T15739,Viral carcinogenesis
T15739,Proteoglycans in cancer
T15739,MicroRNAs in cancer
T15739,Colorectal cancer
T15739,Pancreatic cancer
T15739,Endometrial cancer
T15739,Glioma
T15739,Prostate cancer
T15739,Thyroid cancer
T15739,Basal cell carcinoma
T15739,Melanoma
T15739,Bladder cancer
T15739,Chronic myeloid leukemia
T15739,Small cell lung cancer
T15739,Non-small cell lung cancer
T15739,Central carbon metabolism in cancer
T15867,
T16156,Cytokine-cytokine receptor interaction
T16156,Jak-STAT signaling pathway
T16422,
T16601,
T16739,
T16769,NF-kappa B signaling pathway
T16769,Ubiquitin mediated proteolysis
T16769,Apoptosis
T16769,Focal adhesion
T16769,Toxoplasmosis
T16769,HTLV-I infection
T16769,Pathways in cancer
T16769,Small cell lung cancer
T17048,
T17485,
T17986,
T18779,
T20808,Citrate cycle (TCA cycle)
T20808,Glutathione metabolism
T20808,Metabolic pathways
T20808,Biosynthesis of antibiotics
T20808,Carbon metabolism
T20808,2-Oxocarboxylic acid metabolism
T20808,Biosynthesis of amino acids
T20808,Peroxisome
T21112,
T25005,NF-kappa B signaling pathway
T25005,Osteoclast differentiation
T25005,Platelet activation
T25005,B cell receptor signaling pathway
T25005,Fc epsilon RI signaling pathway
T25005,Primary immunodeficiency
T25258,ABC transporters
T25258,Bile secretion
T25258,MicroRNAs in cancer
T25265,MicroRNAs in cancer
T28413,Axon guidance
T28484,
T28925,Purine metabolism
T28925,Drug metabolism - other enzymes
T28925,Metabolic pathways
T29960,Transcriptional misregulation in cancer
T30081,
T30827,
T30846,
T30926,
T31309,NF-kappa B signaling pathway
T31309,HIF-1 signaling pathway
T31309,Sphingolipid signaling pathway
T31309,Protein processing in endoplasmic reticulum
T31309,PI3K-Akt signaling pathway
T31309,Apoptosis
T31309,Adrenergic signaling in cardiomyocytes
T31309,Focal adhesion
T31309,Neurotrophin signaling pathway
T31309,Cholinergic synapse
T31309,Amyotrophic lateral sclerosis (ALS)
T31309,Toxoplasmosis
T31309,Tuberculosis
T31309,Hepatitis B
T31309,Epstein-Barr virus infection
T31309,Pathways in cancer
T31309,MicroRNAs in cancer
T31309,Colorectal cancer
T31309,Prostate cancer
T31309,Small cell lung cancer
T31424,
T35063,
T35173,NF-kappa B signaling pathway
T35173,Ubiquitin mediated proteolysis
T35173,Apoptosis
T35173,Focal adhesion
T35173,NOD-like receptor signaling pathway
T35173,TNF signaling pathway
T35173,Toxoplasmosis
T35173,Pathways in cancer
T35173,Transcriptional misregulation in cancer
T35173,Small cell lung cancer
T35289,
T36741,p53 signaling pathway
T36741,MicroRNAs in cancer
T37434,Transcriptional misregulation in cancer
T38950,Hematopoietic cell lineage
T40490,
T40556,
T40694,FoxO signaling pathway
T40694,Cell cycle
T40694,Oocyte meiosis
T40694,Progesterone-mediated oocyte maturation
T42048,
T43115,Cell adhesion molecules (CAMs)
T43115,T cell receptor signaling pathway
T43115,Fc gamma R-mediated phagocytosis
T43115,Primary immunodeficiency
T44458,Transcriptional misregulation in cancer
T44589,Cytokine-cytokine receptor interaction
T44589,PI3K-Akt signaling pathway
T44589,Apoptosis
T44589,Jak-STAT signaling pathway
T44589,Hematopoietic cell lineage
T45593,MAPK signaling pathway
T45593,Alzheimer's disease
T46216,
T46263,Protein digestion and absorption
T46781,
T47101,MAPK signaling pathway
T47101,Ras signaling pathway
T47101,Rap1 signaling pathway
T47101,PI3K-Akt signaling pathway
T47101,Adherens junction
T47101,Signaling pathways regulating pluripotency of stem cells
T47101,Regulation of actin cytoskeleton
T47101,Pathways in cancer
T47101,Proteoglycans in cancer
T47101,Prostate cancer
T47101,Melanoma
T47101,Central carbon metabolism in cancer
T47107,MAPK signaling pathway
T47107,ErbB signaling pathway
T47107,Ras signaling pathway
T47107,Rap1 signaling pathway
T47107,Calcium signaling pathway
T47107,HIF-1 signaling pathway
T47107,Phosphatidylinositol signaling system
T47107,Sphingolipid signaling pathway
T47107,mTOR signaling pathway
T47107,Vascular smooth muscle contraction
T47107,Wnt signaling pathway
T47107,VEGF signaling pathway
T47107,Focal adhesion
T47107,Tight junction
T47107,Gap junction
T47107,Natural killer cell mediated cytotoxicity
T47107,Fc gamma R-mediated phagocytosis
T47107,Leukocyte transendothelial migration
T47107,Circadian entrainment
T47107,Long-term potentiation
T47107,Retrograde endocannabinoid signaling
T47107,Glutamatergic synapse
T47107,Cholinergic synapse
T47107,Serotonergic synapse
T47107,GABAergic synapse
T47107,Dopaminergic synapse
T47107,Long-term depression
T47107,Inflammatory mediator regulation of TRP channels
T47107,Insulin secretion
T47107,Melanogenesis
T47107,Thyroid hormone synthesis
T47107,Thyroid hormone signaling pathway
T47107,Oxytocin signaling pathway
T47107,Aldosterone-regulated sodium reabsorption
T47107,Endocrine and other factor-regulated calcium reabsorption
T47107,Salivary secretion
T47107,Gastric acid secretion
T47107,Pancreatic secretion
T47107,Amphetamine addiction
T47107,Morphine addiction
T47107,Vibrio cholerae infection
T47107,African trypanosomiasis
T47107,Amoebiasis
T47107,Hepatitis B
T47107,Pathways in cancer
T47107,Proteoglycans in cancer
T47107,MicroRNAs in cancer
T47107,Glioma
T47107,Non-small cell lung cancer
T47107,Choline metabolism in cancer
T47366,
T48429,Cytokine-cytokine receptor interaction
T48429,Jak-STAT signaling pathway
T48429,Intestinal immune network for IgA production
T48429,HTLV-I infection
T50594,Jak-STAT signaling pathway
T50594,MicroRNAs in cancer
T50594,Acute myeloid leukemia
T51407,Ribosome biogenesis in eukaryotes
T51407,RNA transport
T51407,Influenza A
T51407,HTLV-I infection
T51407,Epstein-Barr virus infection
T53472,Antigen processing and presentation
T53472,Natural killer cell mediated cytotoxicity
T53472,Graft-versus-host disease
T53524,MAPK signaling pathway
T53524,Ras signaling pathway
T53524,Rap1 signaling pathway
T53524,Calcium signaling pathway
T53524,Cytokine-cytokine receptor interaction
T53524,Endocytosis
T53524,PI3K-Akt signaling pathway
T53524,Focal adhesion
T53524,Gap junction
T53524,Regulation of actin cytoskeleton
T53524,HTLV-I infection
T53524,Pathways in cancer
T53524,MicroRNAs in cancer
T53524,Glioma
T53524,Prostate cancer
T53524,Melanoma
T53524,Central carbon metabolism in cancer
T53524,Choline metabolism in cancer
T54379,
T54902,Antigen processing and presentation
T54902,Natural killer cell mediated cytotoxicity
T54902,Graft-versus-host disease
T55781,
T56365,PI3K-Akt signaling pathway
T56365,Hematopoietic cell lineage
T56365,B cell receptor signaling pathway
T56365,Epstein-Barr virus infection
T56365,Primary immunodeficiency
T57700,Ras signaling pathway
T57700,Rap1 signaling pathway
T57700,Cytokine-cytokine receptor interaction
T57700,Endocytosis
T57700,PI3K-Akt signaling pathway
T57700,Hematopoietic cell lineage
T57700,Melanogenesis
T57700,Pathways in cancer
T57700,Acute myeloid leukemia
T57700,Central carbon metabolism in cancer
T58902,
T58998,SNARE interactions in vesicular transport
T60345,
T60636,
T61400,Pyrimidine metabolism
T61400,Metabolic pathways
T61518,
T61683,
T62431,NF-kappa B signaling pathway
T62431,PI3K-Akt signaling pathway
T62431,Osteoclast differentiation
T62431,Platelet activation
T62431,Natural killer cell mediated cytotoxicity
T62431,B cell receptor signaling pathway
T62431,Fc epsilon RI signaling pathway
T62431,Fc gamma R-mediated phagocytosis
T62431,Tuberculosis
T62431,Epstein-Barr virus infection
T62431,Viral carcinogenesis
T63189,
T63239,
T63505,ErbB signaling pathway
T63505,Ras signaling pathway
T63505,Cell cycle
T63505,Axon guidance
T63505,Neurotrophin signaling pathway
T63505,Pathogenic Escherichia coli infection
T63505,Shigellosis
T63505,Pathways in cancer
T63505,MicroRNAs in cancer
T63505,Chronic myeloid leukemia
T63505,Viral myocarditis
T64213,Inflammatory mediator regulation of TRP channels
T65755,
T66426,
T67619,MAPK signaling pathway
T67619,ErbB signaling pathway
T67619,Ras signaling pathway
T67619,Rap1 signaling pathway
T67619,cGMP-PKG signaling pathway
T67619,cAMP signaling pathway
T67619,Chemokine signaling pathway
T67619,HIF-1 signaling pathway
T67619,FoxO signaling pathway
T67619,Sphingolipid signaling pathway
T67619,mTOR signaling pathway
T67619,PI3K-Akt signaling pathway
T67619,AMPK signaling pathway
T67619,Apoptosis
T67619,Adrenergic signaling in cardiomyocytes
T67619,VEGF signaling pathway
T67619,Osteoclast differentiation
T67619,Focal adhesion
T67619,Tight junction
T67619,Signaling pathways regulating pluripotency of stem cells
T67619,Platelet activation
T67619,Toll-like receptor signaling pathway
T67619,Jak-STAT signaling pathway
T67619,T cell receptor signaling pathway
T67619,B cell receptor signaling pathway
T67619,Fc epsilon RI signaling pathway
T67619,Fc gamma R-mediated phagocytosis
T67619,TNF signaling pathway
T67619,Neurotrophin signaling pathway
T67619,Cholinergic synapse
T67619,Dopaminergic synapse
T67619,Insulin signaling pathway
T67619,Progesterone-mediated oocyte maturation
T67619,Estrogen signaling pathway
T67619,Prolactin signaling pathway
T67619,Thyroid hormone signaling pathway
T67619,Adipocytokine signaling pathway
T67619,Glucagon signaling pathway
T67619,Regulation of lipolysis in adipocytes
T67619,Non-alcoholic fatty liver disease (NAFLD)
T67619,Carbohydrate digestion and absorption
T67619,Chagas disease (American trypanosomiasis)
T67619,Toxoplasmosis
T67619,Tuberculosis
T67619,Hepatitis C
T67619,Hepatitis B
T67619,Measles
T67619,Influenza A
T67619,HTLV-I infection
T67619,Epstein-Barr virus infection
T67619,Pathways in cancer
T67619,Proteoglycans in cancer
T67619,Colorectal cancer
T67619,Renal cell carcinoma
T67619,Pancreatic cancer
T67619,Endometrial cancer
T67619,Glioma
T67619,Prostate cancer
T67619,Melanoma
T67619,Chronic myeloid leukemia
T67619,Acute myeloid leukemia
T67619,Small cell lung cancer
T67619,Non-small cell lung cancer
T67619,Central carbon metabolism in cancer
T67619,Choline metabolism in cancer
T67805,Cytokine-cytokine receptor interaction
T68547,Cell cycle
T68547,Notch signaling pathway
T68547,Thyroid hormone signaling pathway
T68547,Huntington's disease
T68547,Amphetamine addiction
T68547,Alcoholism
T68547,Epstein-Barr virus infection
T68547,Pathways in cancer
T68547,Transcriptional misregulation in cancer
T68547,Viral carcinogenesis
T68547,MicroRNAs in cancer
T68547,Chronic myeloid leukemia
T69563,Citrate cycle (TCA cycle)
T69563,Glutathione metabolism
T69563,Metabolic pathways
T69563,Biosynthesis of antibiotics
T69563,Carbon metabolism
T69563,2-Oxocarboxylic acid metabolism
T69563,Biosynthesis of amino acids
T69563,Peroxisome
T69563,Central carbon metabolism in cancer
T70508,
T70977,ErbB signaling pathway
T70977,Chemokine signaling pathway
T70977,Cell cycle
T70977,PI3K-Akt signaling pathway
T70977,Wnt signaling pathway
T70977,Hedgehog signaling pathway
T70977,Axon guidance
T70977,Hippo signaling pathway
T70977,Focal adhesion
T70977,Signaling pathways regulating pluripotency of stem cells
T70977,T cell receptor signaling pathway
T70977,B cell receptor signaling pathway
T70977,Neurotrophin signaling pathway
T70977,Dopaminergic synapse
T70977,Insulin signaling pathway
T70977,Melanogenesis
T70977,Prolactin signaling pathway
T70977,Thyroid hormone signaling pathway
T70977,Non-alcoholic fatty liver disease (NAFLD)
T70977,Alzheimer's disease
T70977,Hepatitis C
T70977,Measles
T70977,Influenza A
T70977,HTLV-I infection
T70977,Epstein-Barr virus infection
T70977,Pathways in cancer
T70977,Colorectal cancer
T70977,Endometrial cancer
T70977,Prostate cancer
T70977,Basal cell carcinoma
T71205,
T71266,MAPK signaling pathway
T71266,ErbB signaling pathway
T71266,Ras signaling pathway
T71266,Rap1 signaling pathway
T71266,cGMP-PKG signaling pathway
T71266,cAMP signaling pathway
T71266,Chemokine signaling pathway
T71266,HIF-1 signaling pathway
T71266,FoxO signaling pathway
T71266,Sphingolipid signaling pathway
T71266,mTOR signaling pathway
T71266,PI3K-Akt signaling pathway
T71266,AMPK signaling pathway
T71266,Apoptosis
T71266,Adrenergic signaling in cardiomyocytes
T71266,VEGF signaling pathway
T71266,Osteoclast differentiation
T71266,Focal adhesion
T71266,Tight junction
T71266,Signaling pathways regulating pluripotency of stem cells
T71266,Platelet activation
T71266,Toll-like receptor signaling pathway
T71266,Jak-STAT signaling pathway
T71266,T cell receptor signaling pathway
T71266,B cell receptor signaling pathway
T71266,Fc epsilon RI signaling pathway
T71266,Fc gamma R-mediated phagocytosis
T71266,TNF signaling pathway
T71266,Neurotrophin signaling pathway
T71266,Cholinergic synapse
T71266,Dopaminergic synapse
T71266,Insulin signaling pathway
T71266,Progesterone-mediated oocyte maturation
T71266,Estrogen signaling pathway
T71266,Prolactin signaling pathway
T71266,Thyroid hormone signaling pathway
T71266,Adipocytokine signaling pathway
T71266,Glucagon signaling pathway
T71266,Regulation of lipolysis in adipocytes
T71266,Non-alcoholic fatty liver disease (NAFLD)
T71266,Carbohydrate digestion and absorption
T71266,Chagas disease (American trypanosomiasis)
T71266,Toxoplasmosis
T71266,Tuberculosis
T71266,Hepatitis C
T71266,Hepatitis B
T71266,Measles
T71266,Influenza A
T71266,HTLV-I infection
T71266,Epstein-Barr virus infection
T71266,Pathways in cancer
T71266,Proteoglycans in cancer
T71266,Colorectal cancer
T71266,Renal cell carcinoma
T71266,Pancreatic cancer
T71266,Endometrial cancer
T71266,Glioma
T71266,Prostate cancer
T71266,Melanoma
T71266,Chronic myeloid leukemia
T71266,Acute myeloid leukemia
T71266,Small cell lung cancer
T71266,Non-small cell lung cancer
T71266,Central carbon metabolism in cancer
T71266,Choline metabolism in cancer
T71377,Cytokine-cytokine receptor interaction
T71377,PI3K-Akt signaling pathway
T71377,Apoptosis
T71377,Jak-STAT signaling pathway
T71377,Hematopoietic cell lineage
T71928,Antigen processing and presentation
T71928,Natural killer cell mediated cytotoxicity
T71928,Graft-versus-host disease
T72835,Cell adhesion molecules (CAMs)
T72835,TNF signaling pathway
T72835,African trypanosomiasis
T72835,Malaria
T73097,Cytokine-cytokine receptor interaction
T73097,Jak-STAT signaling pathway
T73097,Hematopoietic cell lineage
T73097,Pathways in cancer
T73215,Hematopoietic cell lineage
T74073,
T74312,Cytokine-cytokine receptor interaction
T74312,Hematopoietic cell lineage
T74312,Pathways in cancer
T74312,Transcriptional misregulation in cancer
T74312,Acute myeloid leukemia
T74312,Central carbon metabolism in cancer
T76910,
T77473,
T78318,
T78381,Cytokine-cytokine receptor interaction
T78381,Jak-STAT signaling pathway
T78692,Circadian entrainment
T78692,Retrograde endocannabinoid signaling
T78692,Serotonergic synapse
T78692,Dopaminergic synapse
T78692,Estrogen signaling pathway
T78692,Oxytocin signaling pathway
T78692,Morphine addiction
T78874,
T81695,
T82051,MAPK signaling pathway
T82051,Sphingolipid signaling pathway
T82051,Cell cycle
T82051,p53 signaling pathway
T82051,PI3K-Akt signaling pathway
T82051,Apoptosis
T82051,Wnt signaling pathway
T82051,Neurotrophin signaling pathway
T82051,Thyroid hormone signaling pathway
T82051,Amyotrophic lateral sclerosis (ALS)
T82051,Huntington's disease
T82051,Hepatitis C
T82051,Hepatitis B
T82051,Measles
T82051,HTLV-I infection
T82051,Herpes simplex infection
T82051,Epstein-Barr virus infection
T82051,Pathways in cancer
T82051,Transcriptional misregulation in cancer
T82051,Viral carcinogenesis
T82051,Proteoglycans in cancer
T82051,MicroRNAs in cancer
T82051,Colorectal cancer
T82051,Pancreatic cancer
T82051,Endometrial cancer
T82051,Glioma
T82051,Prostate cancer
T82051,Thyroid cancer
T82051,Basal cell carcinoma
T82051,Melanoma
T82051,Bladder cancer
T82051,Chronic myeloid leukemia
T82051,Small cell lung cancer
T82051,Non-small cell lung cancer
T82051,Central carbon metabolism in cancer
T82383,
T82494,
T83145,MAPK signaling pathway
T83145,NF-kappa B signaling pathway
T83145,Osteoclast differentiation
T83145,Legionellosis
T83145,HTLV-I infection
T83145,Epstein-Barr virus infection
T83145,Pathways in cancer
T83145,Viral carcinogenesis
T83797,Ras signaling pathway
T83797,Rap1 signaling pathway
T83797,Cytokine-cytokine receptor interaction
T83797,PI3K-Akt signaling pathway
T83797,Focal adhesion
T83797,Malaria
T83797,Pathways in cancer
T83797,Proteoglycans in cancer
T83797,Renal cell carcinoma
T83797,Melanoma
T84631,Complement and coagulation cascades
T84780,NF-kappa B signaling pathway
T84780,Ubiquitin mediated proteolysis
T84780,Apoptosis
T84780,Hippo signaling pathway
T84780,Focal adhesion
T84780,NOD-like receptor signaling pathway
T84780,TNF signaling pathway
T84780,Toxoplasmosis
T84780,Pathways in cancer
T84780,Small cell lung cancer
T85943,ErbB signaling pathway
T85943,Rap1 signaling pathway
T85943,Chemokine signaling pathway
T85943,Endocytosis
T85943,VEGF signaling pathway
T85943,Focal adhesion
T85943,Adherens junction
T85943,Tight junction
T85943,Gap junction
T85943,Platelet activation
T85943,GABAergic synapse
T85943,Inflammatory mediator regulation of TRP channels
T85943,Regulation of actin cytoskeleton
T85943,GnRH signaling pathway
T85943,Estrogen signaling pathway
T85943,Prolactin signaling pathway
T85943,Thyroid hormone signaling pathway
T85943,Oxytocin signaling pathway
T85943,Bacterial invasion of epithelial cells
T85943,Epithelial cell signaling in Helicobacter pylori infection
T85943,Shigellosis
T85943,Tuberculosis
T85943,Hepatitis B
T85943,Viral carcinogenesis
T85943,Proteoglycans in cancer
T86052,
T86323,Cell adhesion molecules (CAMs)
T86323,Prion diseases
T86399,
T86528,Terpenoid backbone biosynthesis
T86528,Metabolic pathways
T86528,Biosynthesis of antibiotics
T86836,
T87237,
T87675,Oocyte meiosis
T87686,Lysine degradation
T87686,Transcriptional misregulation in cancer
T87946,
T88304,Cysteine and methionine metabolism
T88304,Metabolic pathways
T88304,MicroRNAs in cancer
T88569,
T89697,Tryptophan metabolism
T89697,Metabolic pathways
T89697,African trypanosomiasis
T92057,ErbB signaling pathway
T92057,Calcium signaling pathway
T92057,Endocytosis
T92057,Proteoglycans in cancer
T92308,
T93062,ABC transporters
T93062,Bile secretion
T93923,Cytokine-cytokine receptor interaction
T94085,Pathways in cancer
T94085,Transcriptional misregulation in cancer
T94085,Acute myeloid leukemia
T95399,
T96079,Cytokine-cytokine receptor interaction
T96079,Chemokine signaling pathway
T96079,Endocytosis
T96079,Axon guidance
T96079,Leukocyte transendothelial migration
T96079,Intestinal immune network for IgA production
T96079,Pathways in cancer
T96144,
T96723,
T96892,
T97766,
T98034,
T99765,
T99948,Cell adhesion molecules (CAMs)
T21945,
T39078,
T47768,Neuroactive ligand-receptor interaction
T47768,Estrogen signaling pathway
T47768,Morphine addiction
T69494,
T20629,
T40332,Transcriptional misregulation in cancer
T40332,Systemic lupus erythematosus
T09130,Calcium signaling pathway
T09130,cAMP signaling pathway
T09130,Neuroactive ligand-receptor interaction
T09130,PI3K-Akt signaling pathway
T09130,Cholinergic synapse
T09130,Regulation of actin cytoskeleton
T32060,Calcium signaling pathway
T32060,Neuroactive ligand-receptor interaction
T32060,Gap junction
T32060,Serotonergic synapse
T32060,Inflammatory mediator regulation of TRP channels
T78709,cAMP signaling pathway
T78709,Neuroactive ligand-receptor interaction
T78709,Serotonergic synapse
T65883,Cell adhesion molecules (CAMs)
T65883,Tight junction
T65883,Leukocyte transendothelial migration
T65883,Hepatitis C
T97071,"Alanine, aspartate and glutamate metabolism"
T97071,Metabolic pathways
T97071,Vitamin digestion and absorption
T08898,cAMP signaling pathway
T08898,Neuroactive ligand-receptor interaction
T47623,Glycosaminoglycan degradation
T47623,Metabolic pathways
T47623,Proteoglycans in cancer
T60366,
T68334,cAMP signaling pathway
T68334,Neuroactive ligand-receptor interaction
T68334,Ovarian steroidogenesis
T08391,Chemokine signaling pathway
T08391,PI3K-Akt signaling pathway
T08391,Signaling pathways regulating pluripotency of stem cells
T08391,Jak-STAT signaling pathway
T08391,Cholinergic synapse
T08391,Prolactin signaling pathway
T08391,Adipocytokine signaling pathway
T08391,Leishmaniasis
T08391,Toxoplasmosis
T08391,Tuberculosis
T08391,Measles
T08391,Influenza A
T08391,Herpes simplex infection
T22032,Neuroactive ligand-receptor interaction
T23172,Chemokine signaling pathway
T23172,PI3K-Akt signaling pathway
T23172,Signaling pathways regulating pluripotency of stem cells
T23172,Jak-STAT signaling pathway
T23172,Measles
T23172,HTLV-I infection
T23172,Epstein-Barr virus infection
T23172,Viral carcinogenesis
T23172,Primary immunodeficiency
T38875,FoxO signaling pathway
T38875,Regulation of autophagy
T38875,mTOR signaling pathway
T38875,PI3K-Akt signaling pathway
T38875,AMPK signaling pathway
T38875,Circadian rhythm
T38875,Insulin signaling pathway
T38875,Adipocytokine signaling pathway
T38875,Oxytocin signaling pathway
T38875,Glucagon signaling pathway
T38875,Non-alcoholic fatty liver disease (NAFLD)
T38875,Hypertrophic cardiomyopathy (HCM)
T47077,
T49493,African trypanosomiasis
T49493,Malaria
T50066,Mineral absorption
T61722,
T62151,
T62460,PI3K-Akt signaling pathway
T62460,Osteoclast differentiation
T62460,Signaling pathways regulating pluripotency of stem cells
T62460,Jak-STAT signaling pathway
T62460,Leishmaniasis
T62460,Toxoplasmosis
T62460,Tuberculosis
T62460,Hepatitis C
T62460,Hepatitis B
T62460,Measles
T62460,Influenza A
T62460,HTLV-I infection
T62460,Herpes simplex infection
T62460,Epstein-Barr virus infection
T62460,Pathways in cancer
T62460,Viral carcinogenesis
T62460,Pancreatic cancer
T65941,
T67952,
T86552,MAPK signaling pathway
T86552,Cytokine-cytokine receptor interaction
