target_id,disease_name,target_disease_approval_status
T29960,Acute myeloid leukaemia,Phase 2
T30081,Acute myeloid leukaemia,Approved
T30827,Acute myeloid leukaemia,Phase 3
T30846,Acute myeloid leukaemia,Phase 1
T30926,Acute myeloid leukaemia,Phase 2
T31309,Acute myeloid leukaemia,Phase 1
T31424,Acute myeloid leukaemia,Phase 2
T34234,Acute myeloid leukaemia,Phase 2
T35063,Acute myeloid leukaemia,Phase 2
T35173,Acute myeloid leukaemia,Phase 1
T35289,Acute myeloid leukaemia,Phase 1
T36741,Acute myeloid leukaemia,Phase 1
T37434,Acute myeloid leukaemia,Preclinical
T38950,Acute myeloid leukaemia,Approved
T40490,Acute myeloid leukaemia,Phase 1
T40556,Acute myeloid leukaemia,Phase 1/2
T40694,Acute myeloid leukaemia,Phase 3
T42048,Acute myeloid leukaemia,Phase 1
T43115,Acute myeloid leukaemia,Phase 3
T44458,Acute myeloid leukaemia,Phase 2
T44589,Acute myeloid leukaemia,Phase 1/2
T45593,Acute myeloid leukaemia,Phase 3
T46216,Acute myeloid leukaemia,Investigative
T46263,Acute myeloid leukaemia,Phase 1
T46781,Acute myeloid leukaemia,Phase 1
T47101,Acute myeloid leukaemia,Phase 1
T47107,Acute myeloid leukaemia,Approved
T47366,Acute myeloid leukaemia,Phase 2/3
T48429,Acute myeloid leukaemia,Phase 2
T50594,Acute myeloid leukaemia,Phase 1/2
T51407,Acute myeloid leukaemia,Phase 2
T53472,Acute myeloid leukaemia,Phase 2
T53524,Acute myeloid leukaemia,Phase 2
T54379,Acute myeloid leukaemia,Phase 1/2
T54902,Acute myeloid leukaemia,Phase 2
T55781,Acute myeloid leukaemia,Phase 1/2
T56365,Acute myeloid leukaemia,Phase 1/2
T57700,Acute myeloid leukaemia,Phase 1
T58902,Acute myeloid leukaemia,Phase 3
T58998,Acute myeloid leukaemia,Phase 1/2
T60345,Acute myeloid leukaemia,Phase 1/2
T60636,Acute myeloid leukaemia,Phase 3
T61400,Acute myeloid leukaemia,Phase 1/2
T61518,Acute myeloid leukaemia,Phase 1
T61683,Acute myeloid leukaemia,Phase 1
T62431,Acute myeloid leukaemia,Phase 2
T63189,Acute myeloid leukaemia,Phase 1
T63239,Acute myeloid leukaemia,Phase 1
T63505,Acute myeloid leukaemia,Phase 1
T64213,Acute myeloid leukaemia,Phase 2
T65755,Acute myeloid leukaemia,Phase 3
T66426,Acute myeloid leukaemia,Phase 1
T67619,Acute myeloid leukaemia,Phase 1
T67805,Acute myeloid leukaemia,Phase 1
T68547,Acute myeloid leukaemia,Phase 2
T69563,Acute myeloid leukaemia,Approved
T70508,Acute myeloid leukaemia,Phase 2
T70977,Acute myeloid leukaemia,Phase 2
T71205,Acute myeloid leukaemia,Phase 2/3
T71266,Acute myeloid leukaemia,Phase 1
T71377,Acute myeloid leukaemia,Approved
T71928,Acute myeloid leukaemia,Phase 2
T72835,Acute myeloid leukaemia,Phase 3
T73097,Acute myeloid leukaemia,Phase 2
T73215,Acute myeloid leukaemia,Application submitted
T74073,Acute myeloid leukaemia,Phase 1/2
T74312,Acute myeloid leukaemia,Approved (orphan drug)
T76910,Acute myeloid leukaemia,Phase 2
T77473,Acute myeloid leukaemia,Discontinued in Phase 1/2
T78318,Acute myeloid leukaemia,Phase 2
T78381,Acute myeloid leukaemia,Phase 3
T78692,Acute myeloid leukaemia,Phase 2
T78874,Acute myeloid leukaemia,Phase 2
T81695,Acute myeloid leukaemia,Phase 2
T82051,Acute myeloid leukaemia,Phase 2
T82383,Acute myeloid leukaemia,Approved
T82494,Acute myeloid leukaemia,Phase 1
T83145,Acute myeloid leukaemia,Phase 1
T83797,Acute myeloid leukaemia,Phase 1
T84631,Acute myeloid leukaemia,Discontinued in Phase 3
T84780,Acute myeloid leukaemia,Phase 1
T85943,Acute myeloid leukaemia,Phase 2
T86052,Acute myeloid leukaemia,Phase 2
T86323,Acute myeloid leukaemia,Phase 1/2
T86399,Acute myeloid leukaemia,Phase 1/2
T86528,Acute myeloid leukaemia,Phase 3
T86836,Acute myeloid leukaemia,Approved
T87237,Acute myeloid leukaemia,Phase 1/2
T87675,Acute myeloid leukaemia,Phase 2
T87686,Acute myeloid leukaemia,Phase 1/2
T87946,Acute myeloid leukaemia,Phase 2
T88304,Acute myeloid leukaemia,Phase 3
T88569,Acute myeloid leukaemia,Phase 1
T89697,Acute myeloid leukaemia,Phase 1
T92057,Acute myeloid leukaemia,Phase 3
T92308,Acute myeloid leukaemia,Phase 3
T93062,Acute myeloid leukaemia,Discontinued in Phase 3
T93923,Acute myeloid leukaemia,Phase 1/2
T94085,Acute myeloid leukaemia,Phase 1
T95399,Acute myeloid leukaemia,Phase 2
T96079,Acute myeloid leukaemia,Phase 2
T96144,Acute myeloid leukaemia,Approved
T96723,Acute myeloid leukaemia,Phase 1
T96892,Acute myeloid leukaemia,Phase 1
T97766,Acute myeloid leukaemia,Phase 1
T98034,Acute myeloid leukaemia,Phase 1
T99765,Acute myeloid leukaemia,Preclinical
T99948,Acute myeloid leukaemia,Phase 1
T21945,Acute pain,Approved
T39078,Acute pain,Approved
T47768,Acute pain,Approved
T69494,Acute pain,Approved
T20629,Acute respiratory distress syndrome,Phase 2
T40332,Acute respiratory distress syndrome,Investigative
T09130,Addictive disorder,Approved
T32060,Addictive disorder,Withdrawn from market
T78709,Addictive disorder,Withdrawn from market
T65883,Adenocarcinoma,Clinical trial
T97071,Adenocarcinoma,Phase 2
T08898,Adrenocortical insufficiency,Approved
T47623,African trypanosomiasis,Phase 1
T60366,African trypanosomiasis,Approved
T68334,African trypanosomiasis,Phase 1
T08391,Alopecia,Phase 2
T11211,Alopecia,Phase 2
T22032,Alopecia,Phase 1
T23172,Alopecia,Approved
T23172,Alopecia,Phase 2/3
T27265,Alopecia,Discontinued in Phase 2
T38875,Alopecia,Phase 2
T47077,Alopecia,Approved
T49493,Alopecia,Terminated
T50066,Alopecia,Phase 2
T54379,Alopecia,Phase 2/3
T61722,Alopecia,Phase 2
T62151,Alopecia,Patented
T62460,Alopecia,Phase 2
T65941,Alopecia,Phase 2
T67952,Alopecia,Terminated
T86552,Alopecia,Terminated
T00895,Alzheimer disease,Phase 2
T01777,Alzheimer disease,Phase 2
T01840,Alzheimer disease,Terminated
T01973,Alzheimer disease,Phase 1/2
T02001,Alzheimer disease,Phase 2
T02551,Alzheimer disease,Phase 1
T02562,Alzheimer disease,Phase 1
T02719,Alzheimer disease,Phase 2
T03644,Alzheimer disease,Phase 1
T04902,Alzheimer disease,Phase 1
T05880,Alzheimer disease,Patented
T07173,Alzheimer disease,Phase 3
T07303,Alzheimer disease,Phase 1/2
T07400,Alzheimer disease,Phase 3
T07806,Alzheimer disease,Phase 2
T08014,Alzheimer disease,Phase 3
T08133,Alzheimer disease,Phase 1
T09130,Alzheimer disease,Terminated
T10482,Alzheimer disease,Clinical trial
T11072,Alzheimer disease,Phase 2
T11448,Alzheimer disease,Phase 3
T13644,Alzheimer disease,Terminated
T15784,Alzheimer disease,Phase 2
T15803,Alzheimer disease,Clinical trial
T16633,Alzheimer disease,Terminated
T16691,Alzheimer disease,Phase 3
T16739,Alzheimer disease,Phase 2
T17163,Alzheimer disease,Investigative
T17852,Alzheimer disease,Phase 2
T18204,Alzheimer disease,Phase 2
T18477,Alzheimer disease,Phase 0
T19433,Alzheimer disease,Phase 2
T19567,Alzheimer disease,Phase 2
T20333,Alzheimer disease,Phase 3
T21689,Alzheimer disease,Phase 1/2
T21960,Alzheimer disease,Phase 2
T22285,Alzheimer disease,Terminated
T23359,Alzheimer disease,Phase 1
T23547,Alzheimer disease,Phase 2
T24793,Alzheimer disease,Phase 3
T24983,Alzheimer disease,Phase 1
T25705,Alzheimer disease,Preclinical
T26220,Alzheimer disease,Phase 2
T26368,Alzheimer disease,Phase 2
T27137,Alzheimer disease,Discontinued in Phase 3
T27812,Alzheimer disease,Phase 3
T28722,Alzheimer disease,Terminated
T28893,Alzheimer disease,Phase 1
T30082,Alzheimer disease,Approved
T30418,Alzheimer disease,Phase 1
T32060,Alzheimer disease,Phase 2
T32984,Alzheimer disease,Phase 1
T33584,Alzheimer disease,Terminated
T34429,Alzheimer disease,Phase 3
T34624,Alzheimer disease,Phase 2
T36075,Alzheimer disease,Phase 2
T36557,Alzheimer disease,Phase 2
T37693,Alzheimer disease,Phase 1
T38143,Alzheimer disease,Phase 3
T38950,Alzheimer disease,Phase 1
T39078,Alzheimer disease,Phase 2
T40474,Alzheimer disease,Phase 1/2
T40556,Alzheimer disease,Phase 1/2
T41141,Alzheimer disease,Preclinical
T42000,Alzheimer disease,Phase 1
T42724,Alzheimer disease,Phase 2
T42748,Alzheimer disease,Phase 1
T44141,Alzheimer disease,Phase 2
T45086,Alzheimer disease,Phase 2
T45151,Alzheimer disease,Phase 1
T45593,Alzheimer disease,Phase 3
T45674,Alzheimer disease,Phase 2
T45993,Alzheimer disease,Terminated
T46185,Alzheimer disease,Terminated
T46360,Alzheimer disease,Phase 3
T47101,Alzheimer disease,Phase 1/2
T47165,Alzheimer disease,Phase 1
T48873,Alzheimer disease,Phase 3
T50942,Alzheimer disease,Phase 1/2
T51076,Alzheimer disease,Phase 1/2
T51115,Alzheimer disease,Phase 3
T53024,Alzheimer disease,Terminated
T54128,Alzheimer disease,Approved
T55352,Alzheimer disease,Phase 1
T55729,Alzheimer disease,Phase 2
T55781,Alzheimer disease,Phase 1/2
T55860,Alzheimer disease,Phase 2
T55936,Alzheimer disease,Phase 2
T57680,Alzheimer disease,Phase 2
T57700,Alzheimer disease,Phase 3
T58454,Alzheimer disease,Phase 1/2
T58902,Alzheimer disease,Phase 3
T58921,Alzheimer disease,Approved
T59102,Alzheimer disease,Phase 1/2
T59679,Alzheimer disease,Phase 2
T60529,Alzheimer disease,Phase 3
T61657,Alzheimer disease,Phase 2/3
T61746,Alzheimer disease,Patented
T62151,Alzheimer disease,Approved
T62276,Alzheimer disease,Terminated
T62820,Alzheimer disease,Phase 2
T62974,Alzheimer disease,Terminated
T63414,Alzheimer disease,Phase 1/2
T63967,Alzheimer disease,Phase 2
T64765,Alzheimer disease,Phase 2
T64830,Alzheimer disease,Terminated
T65200,Alzheimer disease,Phase 2
T65864,Alzheimer disease,Phase 2
T66161,Alzheimer disease,Phase 2
T66665,Alzheimer disease,Phase 3
T67162,Alzheimer disease,Approved
T67684,Alzheimer disease,Terminated
T69494,Alzheimer disease,Approved
T69912,Alzheimer disease,Phase 1
T70967,Alzheimer disease,Discontinued in Phase 2
T70977,Alzheimer disease,Discontinued in Phase 1
T72458,Alzheimer disease,Phase 2
T73724,Alzheimer disease,Discontinued in Phase 2
T73992,Alzheimer disease,Phase 3
T74312,Alzheimer disease,Phase 3
T74456,Alzheimer disease,Terminated
T75440,Alzheimer disease,Phase 1
T75797,Alzheimer disease,Clinical trial
T75907,Alzheimer disease,Phase 1
T76233,Alzheimer disease,Phase 2
T76414,Alzheimer disease,Terminated
T77365,Alzheimer disease,Discontinued in Phase 3
T77913,Alzheimer disease,Phase 1
T78111,Alzheimer disease,Discontinued in Phase 2
T78429,Alzheimer disease,Phase 2
T78709,Alzheimer disease,Phase 2
T79031,Alzheimer disease,Phase 3
T79062,Alzheimer disease,Phase 1
T79798,Alzheimer disease,Phase 2
T79961,Alzheimer disease,Terminated
T80782,Alzheimer disease,Phase 1/2
T80896,Alzheimer disease,Phase 1/2
T80975,Alzheimer disease,Phase 1/2
T82543,Alzheimer disease,Discontinued in Phase 2
T83011,Alzheimer disease,Phase 2
T83813,Alzheimer disease,Phase 2
T83875,Alzheimer disease,Phase 2
T84703,Alzheimer disease,Phase 1/2
T85435,Alzheimer disease,Phase 2
T85670,Alzheimer disease,Phase 2
T86052,Alzheimer disease,Phase 1
T86679,Alzheimer disease,Discontinued in Phase 3
T87024,Alzheimer disease,Approved
T87946,Alzheimer disease,Discontinued in Phase 1
T88318,Alzheimer disease,Phase 2
T88537,Alzheimer disease,Phase 2
T88752,Alzheimer disease,Terminated
T89034,Alzheimer disease,Phase 2/3
T89534,Alzheimer disease,Phase 3
T89988,Alzheimer disease,Investigative
T90782,Alzheimer disease,Phase 1
T90848,Alzheimer disease,Phase 2/3
T91331,Alzheimer disease,Phase 1/2
T94085,Alzheimer disease,Phase 2/3
T94479,Alzheimer disease,Phase 1
T96144,Alzheimer disease,Phase 3
T97613,Alzheimer disease,Phase 2
T97917,Alzheimer disease,Preclinical
T99340,Alzheimer disease,Phase 1
T99347,Alzheimer disease,Phase 1
T99799,Alzheimer disease,Phase 3
T99840,Alzheimer disease,Phase 2
T99935,Alzheimer disease,Terminated
T49814,Amoebiasis,Approved
T74891,Amoebiasis,Investigative
T23389,Amyloidosis,Approved
T37742,Amyloidosis,Phase 1
T69707,Amyloidosis,Approved
T87024,Amyloidosis,Phase 1
T02246,Anemia,Phase 2
T06011,Anemia,Phase 1
T07958,Anemia,Phase 2
T12091,Anemia,Phase 2
T22995,Anemia,Phase 2
T30356,Anemia,Phase 2/3
T32578,Anemia,Approved
T48940,Anemia,Phase 1
T49493,Anemia,Phase 2/3
T53904,Anemia,Phase 2
T65197,Anemia,Approved
T85574,Anemia,Discontinued in Phase 2
T86264,Anemia,Phase 1
T02777,Angina pectoris,Approved
T04389,Angina pectoris,Terminated
T06042,Angina pectoris,Approved
T06046,Angina pectoris,Phase 2
T07663,Angina pectoris,Discontinued in Phase 2
T13491,Angina pectoris,Approved
T14602,Angina pectoris,Investigative
T17569,Angina pectoris,Approved
T19693,Angina pectoris,Phase 2
T20251,Angina pectoris,Terminated
T21324,Angina pectoris,Discontinued in Preregistration
T28076,Angina pectoris,Phase 3
T29303,Angina pectoris,Approved
T31424,Angina pectoris,Discontinued in Phase 3
T31946,Angina pectoris,Terminated
T39716,Angina pectoris,Phase 1
T44068,Angina pectoris,Terminated
T45993,Angina pectoris,Approved
T50688,Angina pectoris,Approved
T51115,Angina pectoris,Terminated
T51408,Angina pectoris,Approved
T54644,Angina pectoris,Investigative
T57680,Angina pectoris,Approved
T59328,Angina pectoris,Approved
T63803,Angina pectoris,Discontinued in Phase 1/2
T67952,Angina pectoris,Approved
T71398,Angina pectoris,Approved
T75888,Angina pectoris,Approved
T76198,Angina pectoris,Phase 2
T76937,Angina pectoris,Approved
T78356,Angina pectoris,Phase 3
T82028,Angina pectoris,Phase 3
T82266,Angina pectoris,Approved
T83797,Angina pectoris,Phase 3
T84631,Angina pectoris,Discontinued in Phase 3
T92138,Angina pectoris,Phase 3
T92403,Angina pectoris,Discontinued in Phase 2
T94033,Angina pectoris,Phase 2
T99727,Angina pectoris,Approved
T22350,Angiosarcoma,Phase 3
T22839,Anterior uveitis,Application submitted
T40332,Anterior uveitis,Application submitted
T27999,Anthrax,Approved
T30956,Anthrax,Approved
T96321,Anthrax,Preclinical
T00895,Anxiety disorder,Approved
T02719,Anxiety disorder,Discontinued in Phase 3
T05849,Anxiety disorder,Phase 2
T07806,Anxiety disorder,Terminated
T08910,Anxiety disorder,Discontinued in Phase 1
T09572,Anxiety disorder,Preclinical
T11011,Anxiety disorder,Terminated
T11754,Anxiety disorder,Phase 2
T16691,Anxiety disorder,Phase 2
T18299,Anxiety disorder,Investigative
T23499,Anxiety disorder,Discontinued in Phase 1
T23547,Anxiety disorder,Phase 2
T27376,Anxiety disorder,Terminated
T27812,Anxiety disorder,Approved
T28722,Anxiety disorder,Approved
T30374,Anxiety disorder,Phase 2
T31204,Anxiety disorder,Discontinued in Phase 3
T32060,Anxiety disorder,Approved
T38338,Anxiety disorder,Discontinued in Phase 3
T40016,Anxiety disorder,Terminated
T42446,Anxiety disorder,Investigative
T45262,Anxiety disorder,Phase 2/3
T46360,Anxiety disorder,Terminated
T47094,Anxiety disorder,Phase 2
T51487,Anxiety disorder,Approved
T52790,Anxiety disorder,Discontinued in Phase 3
T52921,Anxiety disorder,Investigative
T54128,Anxiety disorder,Approved
T58992,Anxiety disorder,Phase 2
T59881,Anxiety disorder,Phase 2
T62184,Anxiety disorder,Phase 2
T62292,Anxiety disorder,Phase 2
T62820,Anxiety disorder,Discontinued in Phase 3
T63967,Anxiety disorder,Discontinued in Phase 2
T64382,Anxiety disorder,Approved
T64765,Anxiety disorder,Terminated
T66237,Anxiety disorder,Phase 2
T67054,Anxiety disorder,Terminated
T67162,Anxiety disorder,Phase 1
T69494,Anxiety disorder,Approved
T75440,Anxiety disorder,Approved
T75984,Anxiety disorder,Phase 2
T77913,Anxiety disorder,Approved
T78709,Anxiety disorder,Approved
T79232,Anxiety disorder,Phase 2
T80387,Anxiety disorder,Discontinued in Phase 1
T83813,Anxiety disorder,Phase 1
T83875,Anxiety disorder,Discontinued in Phase 2
T84160,Anxiety disorder,Phase 3
T84486,Anxiety disorder,Phase 2
T85605,Anxiety disorder,Approved
T89515,Anxiety disorder,Approved
T90391,Anxiety disorder,Phase 2
T97613,Anxiety disorder,Phase 2
T99347,Anxiety disorder,Phase 2
T99402,Anxiety disorder,Investigative
T56545,Aortic valve stenosis,Phase 1
T51146,Appendicitis,Approved
T46937,Arterial thrombosis,Phase 3
T50688,Arterial thrombosis,Terminated
T99732,Arthropathy,Phase 2
T64382,Ascariasis,Approved
T16601,Ascites,Phase 1
T73189,Aspergillosis,Terminated
T73726,Aspergillosis,Approved
T00140,Asthma,Approved
T00239,Asthma,Phase 2
T01777,Asthma,Terminated
T02001,Asthma,Phase 3
T02703,Asthma,Phase 2
T02752,Asthma,Discontinued in Phase 1
T03346,Asthma,Phase 3
T03403,Asthma,Discontinued in Phase 1
T03410,Asthma,Phase 1
T03500,Asthma,Phase 1
T03963,Asthma,Phase 2
T05409,Asthma,Phase 2
T06446,Asthma,Investigative
T06841,Asthma,Phase 3
T06955,Asthma,Phase 2
T07663,Asthma,Terminated
T07861,Asthma,Phase 2
T08391,Asthma,Phase 2
T09130,Asthma,Investigative
T10191,Asthma,Phase 2
T10249,Asthma,Phase 3
T10265,Asthma,Phase 3
T10491,Asthma,Discontinued in Phase 2
T10965,Asthma,Phase 3
T11309,Asthma,Discontinued in Phase 1
T11388,Asthma,Investigative
T11451,Asthma,Phase 2
T12119,Asthma,Discontinued in Phase 2
T14558,Asthma,Discontinued in Phase 2
T14834,Asthma,Terminated
T14912,Asthma,Terminated
T15377,Asthma,Phase 2
T15556,Asthma,Phase 2
T18477,Asthma,Approved
T18876,Asthma,Phase 2
T19760,Asthma,Phase 2/3
T20178,Asthma,Phase 3
T20709,Asthma,Approved
T20796,Asthma,Phase 1/2
T21324,Asthma,Discontinued in Phase 2
T21865,Asthma,Phase 2
T21960,Asthma,Discontinued in Phase 2
T22095,Asthma,Phase 2
T23172,Asthma,Phase 2
T23547,Asthma,Discontinued in Phase 2
T23714,Asthma,Terminated
T23797,Asthma,Phase 2
T26500,Asthma,Phase 1
T27602,Asthma,Discontinued in Phase 1
T29143,Asthma,Phase 3
T29649,Asthma,Phase 2
T29683,Asthma,Investigative
T29879,Asthma,Discontinued in Phase 1
T30563,Asthma,Terminated
T30803,Asthma,Investigative
T30823,Asthma,Terminated
T31479,Asthma,Discontinued in Phase 2
T33754,Asthma,Phase 2
T33846,Asthma,Phase 2
T34318,Asthma,Approved
T34429,Asthma,Phase 2
T34624,Asthma,Phase 2
T37308,Asthma,Phase 2
T39921,Asthma,Phase 2
T40016,Asthma,Approved
T40459,Asthma,Phase 1
T41141,Asthma,Investigative
T43415,Asthma,Phase 2
T43739,Asthma,Discontinued in Phase 2
T43902,Asthma,Phase 1
T44068,Asthma,Approved
T44141,Asthma,Discontinued in Phase 2
T44589,Asthma,Phase 2
T46185,Asthma,Approved
T46482,Asthma,Phase 2
T46642,Asthma,Discontinued in Phase 3
T46658,Asthma,Phase 2
T47094,Asthma,Discontinued in Phase 2
T47768,Asthma,Terminated
T47941,Asthma,Approved
T49072,Asthma,Phase 1
T51408,Asthma,Approved
T52522,Asthma,Approved
T52790,Asthma,Discontinued in Phase 2
T53378,Asthma,Phase 1/2
T53669,Asthma,Phase 1
T55860,Asthma,Phase 2
T56923,Asthma,Phase 2
T59626,Asthma,Discontinued in Phase 2
T60526,Asthma,Phase 3
T61722,Asthma,Phase 3
T61744,Asthma,Approved
T61746,Asthma,Investigative
T62431,Asthma,Phase 1
T62460,Asthma,Phase 2
T63180,Asthma,Phase 1
T63184,Asthma,Phase 1
T63229,Asthma,Phase 2
T66011,Asthma,Investigative
T66538,Asthma,Phase 2
T66665,Asthma,Phase 2/3
T67063,Asthma,Terminated
T67079,Asthma,Phase 2
T67162,Asthma,Approved
T67684,Asthma,Approved
T67849,Asthma,Phase 2
T67952,Asthma,Discontinued in Phase 1
T68066,Asthma,Approved
T68290,Asthma,Investigative
T68782,Asthma,Phase 3
T69619,Asthma,Investigative
T70518,Asthma,Phase 2
T70888,Asthma,Discontinued in Phase 3
T71192,Asthma,Approved
T71230,Asthma,Phase 2
T71377,Asthma,Phase 1
T72458,Asthma,Discontinued in Phase 2
T72835,Asthma,Phase 3
T72841,Asthma,Phase 3
T72957,Asthma,Discontinued in Phase 2
T73476,Asthma,Phase 1
T74238,Asthma,Phase 2
T76198,Asthma,Phase 2
T77913,Asthma,Phase 2
T78111,Asthma,Phase 2
T78244,Asthma,Discontinued in Phase 2
T78356,Asthma,Phase 2
T78585,Asthma,Approved
T78874,Asthma,Phase 2
T78932,Asthma,Phase 2
T79422,Asthma,Phase 2
T79961,Asthma,Approved
T81905,Asthma,Approved
T82266,Asthma,Phase 2
T82577,Asthma,Phase 2
T83145,Asthma,Terminated
T83193,Asthma,Phase 1
T84634,Asthma,Investigative
T84726,Asthma,Terminated
T85467,Asthma,Discontinued in Phase 1
T85857,Asthma,Approved
T86130,Asthma,Phase 2
T86679,Asthma,Phase 1
T87023,Asthma,Phase 3
T88452,Asthma,Approved
T88714,Asthma,Discontinued in Phase 2
T88975,Asthma,Approved
T89950,Asthma,Discontinued in Phase 2
T90828,Asthma,Approved
T92138,Asthma,Discontinued in Phase 2
T93566,Asthma,Discontinued in Phase 2
T94033,Asthma,Terminated
T95379,Asthma,Phase 3
T95400,Asthma,Approved
T95913,Asthma,Phase 2
T96144,Asthma,Phase 1
T97587,Asthma,Phase 2
T99840,Asthma,Discontinued in Phase 2
T99954,Asthma,Discontinued in Preregistration
T95241,Ataxic disorder,Phase 1/2
T89534,Atrophy,Preclinical
T02551,Attention deficit hyperactivity disorder,Phase 1
T07806,Attention deficit hyperactivity disorder,Phase 3
T11448,Attention deficit hyperactivity disorder,Approved
T15117,Attention deficit hyperactivity disorder,Phase 2
T16691,Attention deficit hyperactivity disorder,Patented
T20709,Attention deficit hyperactivity disorder,Investigative
T21945,Attention deficit hyperactivity disorder,Approved
T24983,Attention deficit hyperactivity disorder,Phase 1
T27812,Attention deficit hyperactivity disorder,Approved
T29500,Attention deficit hyperactivity disorder,Approved
T31204,Attention deficit hyperactivity disorder,Phase 4
T31424,Attention deficit hyperactivity disorder,Approved
T32060,Attention deficit hyperactivity disorder,Phase 1
T34429,Attention deficit hyperactivity disorder,Discontinued in Phase 1
T37693,Attention deficit hyperactivity disorder,Approved
T42748,Attention deficit hyperactivity disorder,Approved
T54128,Attention deficit hyperactivity disorder,Phase 2
T55959,Attention deficit hyperactivity disorder,Approved
T61484,Attention deficit hyperactivity disorder,Phase 3
T63967,Attention deficit hyperactivity disorder,Phase 2
T64765,Attention deficit hyperactivity disorder,Phase 2
T67162,Attention deficit hyperactivity disorder,Approved
T77913,Attention deficit hyperactivity disorder,Phase 1
T78111,Attention deficit hyperactivity disorder,Phase 1/2
T78709,Attention deficit hyperactivity disorder,Phase 3
T79062,Attention deficit hyperactivity disorder,Phase 1
T79961,Attention deficit hyperactivity disorder,Investigative
T83813,Attention deficit hyperactivity disorder,Phase 3
T84631,Attention deficit hyperactivity disorder,Phase 2
T87670,Attention deficit hyperactivity disorder,Approved
T93788,Attention deficit hyperactivity disorder,Approved
T99524,Attention deficit hyperactivity disorder,Approved
T26368,Autism spectrum disorder,Phase 1
T31391,Autism spectrum disorder,Phase 2
T42446,Autism spectrum disorder,Phase 2
T53904,Autism spectrum disorder,Phase 2
T59881,Autism spectrum disorder,Approved
T61484,Autism spectrum disorder,Phase 3
T62390,Autism spectrum disorder,Phase 2
T66237,Autism spectrum disorder,Approved
T69494,Autism spectrum disorder,Phase 2
T79232,Autism spectrum disorder,Approved
T84486,Autism spectrum disorder,Approved
T99347,Autism spectrum disorder,Phase 2
T03573,Autoimmune disease,Phase 1
T08306,Autoimmune disease,Phase 1
T11451,Autoimmune disease,Phase 1
T25005,Autoimmune disease,Phase 1
T25307,Autoimmune disease,Phase 1
T39977,Autoimmune disease,Investigative
T41963,Autoimmune disease,Phase 1
T46482,Autoimmune disease,Phase 1
T68290,Autoimmune disease,Phase 2
T94718,Autoimmune disease,Phase 1
