drug_id,disease_name,disease_specific_drug_approval_status
D0V6WU,Acute myeloid leukaemia,Preclinical
D0S7LG,Acute myeloid leukaemia,Approved
DFC0V4,Acute myeloid leukaemia,Phase 1
D07NPS,Acute myeloid leukaemia,Phase 3
D0I5DP,Acute myeloid leukaemia,Phase 1
D7LC8N,Acute myeloid leukaemia,Phase 1
D0V5JH,Acute myeloid leukaemia,Phase 2
D0Q5GK,Acute myeloid leukaemia,Phase 1/2
D09WOY,Acute myeloid leukaemia,Investigative
D09TGX,Acute myeloid leukaemia,Discontinued in Phase 3
D08UVN,Acute myeloid leukaemia,Phase 1
D03EOZ,Acute myeloid leukaemia,Phase 2
D0R7CD,Acute myeloid leukaemia,Phase 1/2
DI17KH,Acute myeloid leukaemia,Phase 1
D03MXK,Acute myeloid leukaemia,Phase 1
DCT2Q3,Acute myeloid leukaemia,Phase 1/2
DS4JE8,Acute myeloid leukaemia,Phase 1/2
D0LG8T,Acute myeloid leukaemia,Phase 1
DNM79H,Acute myeloid leukaemia,Phase 1
D04WHM,Acute myeloid leukaemia,Phase 1
D07OAD,Acute myeloid leukaemia,Phase 2
D0DJ8S,Acute myeloid leukaemia,Phase 1
D0IQ3E,Acute myeloid leukaemia,Phase 1/2
D0JW9E,Acute myeloid leukaemia,Preclinical
D0K7FT,Acute myeloid leukaemia,Phase 1/2
D0K9PC,Acute myeloid leukaemia,Phase 1
D0WH4P,Acute myeloid leukaemia,Approved
D01XWG,Acute myeloid leukaemia,Approved
D0KE1F,Acute myeloid leukaemia,Phase 3
DT3BA1,Acute myeloid leukaemia,Phase 1/2
D06DCL,Acute myeloid leukaemia,Discontinued in Phase 3
D08NZG,Acute myeloid leukaemia,Phase 2
D02AAO,Acute myeloid leukaemia,Phase 2
D0W9SL,Acute myeloid leukaemia,Phase 2
D02ZXM,Acute myeloid leukaemia,Approved
D02JEW,Acute myeloid leukaemia,Phase 1
D02MLO,Acute myeloid leukaemia,Phase 2
D0P2ZY,Acute myeloid leukaemia,Phase 1
D0RG8Z,Acute myeloid leukaemia,Phase 2
D0RX7Z,Acute myeloid leukaemia,Approved
DM9GO4,Acute myeloid leukaemia,Phase 1
D0L3KA,Acute myeloid leukaemia,Phase 2
D74BRK,Acute myeloid leukaemia,Phase 1
DBY42T,Acute myeloid leukaemia,Phase 1
DP63FS,Acute myeloid leukaemia,Phase 1
D05LGX,Acute myeloid leukaemia,Phase 2
D0R8IE,Acute myeloid leukaemia,Phase 2
D0T9SJ,Acute myeloid leukaemia,Terminated
D0I7PU,Acute myeloid leukaemia,Phase 2
D08YHE,Acute myeloid leukaemia,Phase 1
D0NC9M,Acute myeloid leukaemia,Phase 1
D0QR2K,Acute myeloid leukaemia,Phase 1
D04JSI,Acute myeloid leukaemia,Preclinical
D01KKI,Acute myeloid leukaemia,Phase 1/2
D03HSA,Acute myeloid leukaemia,Phase 2
D04MGW,Acute myeloid leukaemia,Phase 1/2
D06EWO,Acute myeloid leukaemia,Approved
D0C4GN,Acute myeloid leukaemia,Phase 1
D0G9MY,Acute myeloid leukaemia,Phase 1/2
D0IJ1D,Acute myeloid leukaemia,Discontinued in Phase 1/2
D0JT0U,Acute myeloid leukaemia,Preclinical
D0LP7U,Acute myeloid leukaemia,Phase 1
D0P6YN,Acute myeloid leukaemia,Phase 1
D0TV6H,Acute myeloid leukaemia,Phase 1/2
D0W2BF,Acute myeloid leukaemia,Phase 3
D5T9GZ,Acute myeloid leukaemia,Phase 1
D8AOC1,Acute myeloid leukaemia,Phase 1
D9OZ3B,Acute myeloid leukaemia,Phase 1
DB4C5H,Acute myeloid leukaemia,Phase 1
DNS2P1,Acute myeloid leukaemia,Phase 1
DQD1T2,Acute myeloid leukaemia,Phase 1
DSI4G9,Acute myeloid leukaemia,Phase 1
DMKG40,Acute myeloid leukaemia,Phase 1
D01LVE,Acute myeloid leukaemia,Phase 1/2
D02YNI,Acute myeloid leukaemia,Phase 1/2
D05ICT,Acute myeloid leukaemia,Phase 1
D07GHA,Acute myeloid leukaemia,Phase 1/2
D00BYM,Acute myeloid leukaemia,Phase 3
D03HUX,Acute myeloid leukaemia,Phase 2
D0O0LQ,Acute myeloid leukaemia,Phase 2
DK26FL,Acute myeloid leukaemia,Phase 1
D08BBL,Acute myeloid leukaemia,Phase 3
DC8EN0,Acute myeloid leukaemia,Phase 3
D0LF1U,Acute myeloid leukaemia,Phase 2
D08MKR,Acute myeloid leukaemia,Phase 1/2
D0JF9Z,Acute myeloid leukaemia,Phase 1
D0Z2ZY,Acute myeloid leukaemia,Phase 1/2
DVZ6M1,Acute myeloid leukaemia,Investigative
D0OQ5R,Acute myeloid leukaemia,Phase 1
D0P5IZ,Acute myeloid leukaemia,Phase 1
D00ABO,Acute myeloid leukaemia,Phase 1
D07NVU,Acute myeloid leukaemia,Approved
D0S5FF,Acute myeloid leukaemia,Phase 2/3
D0FD7H,Acute myeloid leukaemia,Phase 2
D0X8ID,Acute myeloid leukaemia,Phase 1/2
D00LNW,Acute myeloid leukaemia,Phase 2
D00RYU,Acute myeloid leukaemia,Phase 2
D0J1GR,Acute myeloid leukaemia,Phase 2
D07AYI,Acute myeloid leukaemia,Phase 1/2
D0VH4T,Acute myeloid leukaemia,Phase 1
D0IM6T,Acute myeloid leukaemia,Application submitted
D0E0SH,Acute myeloid leukaemia,Phase 1
D0TS2B,Acute myeloid leukaemia,Preclinical
D0M2TS,Acute myeloid leukaemia,Phase 1
D2GY5C,Acute myeloid leukaemia,Phase 1
D7QHV6,Acute myeloid leukaemia,Phase 1
D91CMX,Acute myeloid leukaemia,Phase 1
D9TG4H,Acute myeloid leukaemia,Phase 1
DHWF68,Acute myeloid leukaemia,Phase 1
DL1FG3,Acute myeloid leukaemia,Phase 1/2
D07NVI,Acute myeloid leukaemia,Phase 3
D0N3XT,Acute myeloid leukaemia,Phase 1/2
D08FIX,Acute myeloid leukaemia,Phase 1
D0G9AW,Acute myeloid leukaemia,Phase 2
DI1VM3,Acute myeloid leukaemia,Phase 1/2
D0L2UQ,Acute myeloid leukaemia,Phase 3
D0V0SL,Acute myeloid leukaemia,Phase 2
D08ABX,Acute myeloid leukaemia,Preclinical
D0NY1Y,Acute myeloid leukaemia,Phase 1
D0X7CV,Acute myeloid leukaemia,Phase 1
D6H9TE,Acute myeloid leukaemia,Phase 1
D0I7IB,Acute myeloid leukaemia,Phase 2
D07DCG,Acute myeloid leukaemia,Approved
D07VYP,Acute myeloid leukaemia,Approved
D0Z1DH,Acute myeloid leukaemia,Phase 2
D00QWK,Acute myeloid leukaemia,Phase 1/2
D04GGG,Acute myeloid leukaemia,Phase 2/3
D0RF4J,Acute myeloid leukaemia,Phase 2/3
D4UQ2B,Acute myeloid leukaemia,Phase 1
DW01LJ,Acute myeloid leukaemia,Phase 1
D07TWK,Acute myeloid leukaemia,Phase 1
D00HAN,Acute myeloid leukaemia,Phase 1
D04MLR,Acute myeloid leukaemia,Phase 1/2
D07MGC,Acute myeloid leukaemia,Phase 2
D0AW4T,Acute myeloid leukaemia,Phase 1
D0C3JB,Acute myeloid leukaemia,Phase 1
D0H8UT,Acute myeloid leukaemia,Phase 0
D0JX7M,Acute myeloid leukaemia,Phase 1
D0N4VG,Acute myeloid leukaemia,Preclinical
D0N6PE,Acute myeloid leukaemia,Phase 1/2
D0R5NU,Acute myeloid leukaemia,Phase 1
D0R7NI,Acute myeloid leukaemia,Approved
D0YA1B,Acute myeloid leukaemia,Phase 2
D0Z7QK,Acute myeloid leukaemia,Phase 1
D03PWD,Acute myeloid leukaemia,Phase 3
D0M0OT,Acute myeloid leukaemia,Phase 2
D0V2ZC,Acute myeloid leukaemia,Phase 1/2
D04KZY,Acute myeloid leukaemia,Approved
D07KYT,Acute myeloid leukaemia,Approved
D07ZNF,Acute myeloid leukaemia,Phase 1
D0D0TQ,Acute myeloid leukaemia,Investigative
D0V9WF,Acute myeloid leukaemia,Approved (orphan drug)
D0YQ9I,Acute myeloid leukaemia,Phase 1
D28HJI,Acute myeloid leukaemia,Phase 1/2
DIA08F,Acute myeloid leukaemia,Phase 1
D01CEQ,Acute myeloid leukaemia,Discontinued in Phase 1/2
D0T6IN,Acute myeloid leukaemia,Phase 3
D0S7HM,Acute myeloid leukaemia,Phase 2
D0OY9L,Acute myeloid leukaemia,Phase 2
D0K4VW,Acute myeloid leukaemia,Phase 2
D0X9VR,Acute myeloid leukaemia,Phase 1/2
D0Y5QA,Acute myeloid leukaemia,Phase 1
D0ZA1K,Acute myeloid leukaemia,Phase 1
D0V5AL,Acute myeloid leukaemia,Phase 1
D03UBW,Acute myeloid leukaemia,Phase 1
D0I6RI,Acute myeloid leukaemia,Phase 2
D03HML,Acute myeloid leukaemia,Phase 1/2
D0V6WW,Acute myeloid leukaemia,Preclinical
D0YH5L,Acute myeloid leukaemia,Phase 1
D0A1IL,Acute myeloid leukaemia,Phase 1/2
D0J9UN,Acute myeloid leukaemia,Approved
D02BVW,Acute myeloid leukaemia,Phase 1/2
D0C6GK,Acute myeloid leukaemia,Phase 1/2
D0KS6F,Acute myeloid leukaemia,Phase 2
D0A2BO,Acute myeloid leukaemia,Phase 3
D0Q5KZ,Acute myeloid leukaemia,Phase 3
D0C6RM,Acute myeloid leukaemia,Phase 1
D0B5HS,Acute myeloid leukaemia,Phase 1
D0HY3D,Acute myeloid leukaemia,Phase 1
D0LC5L,Acute myeloid leukaemia,Phase 1
D0T6CN,Acute myeloid leukaemia,Phase 2
D0Z8JR,Acute myeloid leukaemia,Phase 1
D00NVM,Acute myeloid leukaemia,Phase 3
D01UBX,Acute myeloid leukaemia,Approved
D01XDL,Acute myeloid leukaemia,Approved
DB5O1U,Acute myeloid leukaemia,Phase 1
D09JYL,Acute myeloid leukaemia,Phase 1
DI8WC4,Acute myeloid leukaemia,Phase 1
D4UFT5,Acute myeloid leukaemia,Preclinical
D0YM2K,Acute myeloid leukaemia,Phase 1
D0K4MH,Acute pain,Approved
D08ZEB,Acute pain,Approved
D02LDN,Acute pain,Approved
DK8BS7,Acute respiratory distress syndrome,Phase 2
D00QBV,Acute respiratory distress syndrome,Investigative
D01NJE,Acute respiratory distress syndrome,Investigative
D0G1SN,Acute respiratory distress syndrome,Investigative
D0B7YT,Addictive disorder,Approved
D0M7LV,Addictive disorder,Withdrawn from market
D06CWZ,Adenocarcinoma,Clinical trial
D05MOZ,Adenocarcinoma,Phase 2
D0W6LI,Adrenocortical insufficiency,Approved
D0H2UB,African trypanosomiasis,Phase 1
D0X7JR,African trypanosomiasis,Approved
DU10JI,Alopecia,Phase 2
D04KYB,Alopecia,Phase 2
D0E3EK,Alopecia,Discontinued in Phase 2
D0H2DS,Alopecia,Phase 1
D02TUL,Alopecia,Phase 2/3
D6INZ9,Alopecia,Phase 2
D6N5UC,Alopecia,Phase 2
D06AVN,Alopecia,Discontinued in Phase 2
D0O8SY,Alopecia,Terminated
DD3IE7,Alopecia,Phase 2
D0Q2XF,Alopecia,Approved
D0Q5QE,Alopecia,Terminated
D0E2QC,Alopecia,Phase 2
D0I9AC,Alopecia,Phase 2/3
DVT3F8,Alopecia,Phase 2
D0S7KA,Alopecia,Patented
DR7EV6,Alopecia,Phase 2
D0X9FO,Alopecia,Terminated
D0R4OD,Alopecia,Terminated
D0E6AH,Alzheimer disease,Phase 2
D08VJI,Alzheimer disease,Terminated
D0B3ZF,Alzheimer disease,Phase 2
D04RDT,Alzheimer disease,Terminated
D00DRL,Alzheimer disease,Phase 1/2
D0IZ8X,Alzheimer disease,Phase 2
D05XEA,Alzheimer disease,Phase 1
D00MBY,Alzheimer disease,Phase 1
D09WZU,Alzheimer disease,Discontinued in Phase 1
D0N5CW,Alzheimer disease,Phase 2
D0T3DG,Alzheimer disease,Phase 1
DSK7I5,Alzheimer disease,Phase 2
D05VAE,Alzheimer disease,Phase 1
D03NLQ,Alzheimer disease,Phase 1
D0G5ZE,Alzheimer disease,Terminated
D04NCC,Alzheimer disease,Patented
D09UJB,Alzheimer disease,Patented
D0I9VU,Alzheimer disease,Patented
D06STX,Alzheimer disease,Patented
D0C2OR,Alzheimer disease,Phase 3
D0I0YS,Alzheimer disease,Phase 1
D0MW7B,Alzheimer disease,Phase 3
D0PU9C,Alzheimer disease,Phase 2
D06FKC,Alzheimer disease,Phase 2
D05XDZ,Alzheimer disease,Phase 3
D06UWF,Alzheimer disease,Phase 1
D02VHE,Alzheimer disease,Terminated
D0R7EA,Alzheimer disease,Clinical trial
D00CVJ,Alzheimer disease,Phase 2
D8NY3J,Alzheimer disease,Phase 3
D05EKM,Alzheimer disease,Terminated
D0E8HA,Alzheimer disease,Phase 2
D05TKW,Alzheimer disease,Clinical trial
D01NDF,Alzheimer disease,Phase 2
D07RQR,Alzheimer disease,Phase 2
D0G1YA,Alzheimer disease,Phase 2
D0J7EP,Alzheimer disease,Discontinued in Phase 2
D0L8IO,Alzheimer disease,Phase 1
D0R9HI,Alzheimer disease,Phase 3
D0V4ZQ,Alzheimer disease,Phase 2
D0X9HF,Alzheimer disease,Phase 1
D0Z0GX,Alzheimer disease,Phase 2
DWD06K,Alzheimer disease,Phase 1
D5NAL9,Alzheimer disease,Phase 2
DL50ZE,Alzheimer disease,Phase 2
D0C6TL,Alzheimer disease,Investigative
D0A9IY,Alzheimer disease,Phase 2
D0S0FD,Alzheimer disease,Phase 1
D0W7UN,Alzheimer disease,Phase 2
DH6G1L,Alzheimer disease,Phase 2
DM95PZ,Alzheimer disease,Phase 2
DNH51Q,Alzheimer disease,Phase 1
D0V9MT,Alzheimer disease,Phase 0
D02AOD,Alzheimer disease,Phase 2
D2KV0F,Alzheimer disease,Phase 1
DS70NZ,Alzheimer disease,Phase 1
DVY0C6,Alzheimer disease,Phase 2
D09TAB,Alzheimer disease,Phase 3
D6UEI3,Alzheimer disease,Phase 1/2
D0K8NR,Alzheimer disease,Phase 2
D0AZ5V,Alzheimer disease,Terminated
D8W0NQ,Alzheimer disease,Phase 1
D06GRK,Alzheimer disease,Phase 3
D09TXO,Alzheimer disease,Preclinical
D0O3TC,Alzheimer disease,Phase 2
D0CH7C,Alzheimer disease,Phase 2
D07ESH,Alzheimer disease,Discontinued in Phase 3
D0Z6IB,Alzheimer disease,Phase 3
D01YGY,Alzheimer disease,Investigative
D02UIE,Alzheimer disease,Terminated
D05IVZ,Alzheimer disease,Terminated
D0P3IE,Alzheimer disease,Terminated
D04SIU,Alzheimer disease,Phase 1
D06ODM,Alzheimer disease,Discontinued in Phase 2
D09AOO,Alzheimer disease,Phase 1
D09BBA,Alzheimer disease,Phase 1
D0X8MZ,Alzheimer disease,Terminated
D02UQU,Alzheimer disease,Terminated
D03DFY,Alzheimer disease,Terminated
D04UKJ,Alzheimer disease,Discontinued in Phase 1
D05UXU,Alzheimer disease,Phase 3
D06XWB,Alzheimer disease,Approved
D06ZAM,Alzheimer disease,Terminated
D07CIN,Alzheimer disease,Phase 3
D09IUG,Alzheimer disease,Terminated
D0AM8W,Alzheimer disease,Discontinued in Phase 3
D0C3UC,Alzheimer disease,Phase 2
D0E6YQ,Alzheimer disease,Approved
D0J4GQ,Alzheimer disease,Terminated
D0K0XG,Alzheimer disease,Terminated
D0M2GI,Alzheimer disease,Terminated
D0NS6H,Alzheimer disease,Approved
D0O5GK,Alzheimer disease,Phase 2
D0R9VR,Alzheimer disease,Approved
D0TK0W,Alzheimer disease,Terminated
D0V7FG,Alzheimer disease,Preclinical
D0W3BA,Alzheimer disease,Phase 2
D0WI9W,Alzheimer disease,Phase 1
D0WY5Q,Alzheimer disease,Approved
D0X1XK,Alzheimer disease,Phase 1
D67DST,Alzheimer disease,Phase 2
D0M1IN,Alzheimer disease,Phase 1
DDI6B0,Alzheimer disease,Phase 2
D3X2TH,Alzheimer disease,Phase 1
D0A9VO,Alzheimer disease,Terminated
D08XOY,Alzheimer disease,Phase 2
D0D3TX,Alzheimer disease,Phase 3
D0H1AY,Alzheimer disease,Phase 2
D0Q9RR,Alzheimer disease,Discontinued in Phase 2
D0VE4O,Alzheimer disease,Investigative
D0X2NB,Alzheimer disease,Investigative
D38LQO,Alzheimer disease,Phase 2
D7A5LO,Alzheimer disease,Phase 2
D96UBZ,Alzheimer disease,Phase 2
D0ZT8A,Alzheimer disease,Phase 1/2
D53BEH,Alzheimer disease,Phase 2
DK3WQ5,Alzheimer disease,Phase 1
D1OM8E,Alzheimer disease,Phase 3
D5QKY2,Alzheimer disease,Phase 1
D00BUR,Alzheimer disease,Phase 2
D0N7WW,Alzheimer disease,Phase 1/2
DCZ16N,Alzheimer disease,Preclinical
DM69TL,Alzheimer disease,Preclinical
DSM03D,Alzheimer disease,Preclinical
D00EHX,Alzheimer disease,Phase 1
DN48GC,Alzheimer disease,Phase 1
DYT9B4,Alzheimer disease,Phase 2
D0JI2E,Alzheimer disease,Phase 1
D00GXL,Alzheimer disease,Phase 2
D01EJG,Alzheimer disease,Phase 2
D02DZK,Alzheimer disease,Phase 1
D02IJA,Alzheimer disease,Phase 2
D0I8FS,Alzheimer disease,Phase 1
D0P8YJ,Alzheimer disease,Phase 1
D0V1FF,Alzheimer disease,Discontinued in Phase 2
D5FSV8,Alzheimer disease,Phase 3
DFM7X6,Alzheimer disease,Phase 1
DJH56Z,Alzheimer disease,Phase 2
DK6BL5,Alzheimer disease,Phase 2
DMSL68,Alzheimer disease,Phase 1
DO31MK,Alzheimer disease,Phase 1
DPU26Z,Alzheimer disease,Phase 1
DQ02VJ,Alzheimer disease,Phase 2/3
D0FX8N,Alzheimer disease,Phase 2
D0G7HO,Alzheimer disease,Terminated
D02JNY,Alzheimer disease,Terminated
D07IZF,Alzheimer disease,Terminated
D0R1VL,Alzheimer disease,Terminated
D0T0UC,Alzheimer disease,Preclinical
D06EXI,Alzheimer disease,Phase 1
D09NAF,Alzheimer disease,Phase 3
D02XJJ,Alzheimer disease,Phase 1/2
D0L8TN,Alzheimer disease,Terminated
D0O7DN,Alzheimer disease,Terminated
D82DMK,Alzheimer disease,Phase 1/2
D01MHI,Alzheimer disease,Phase 2
D01WBD,Alzheimer disease,Phase 2
D0B4EV,Alzheimer disease,Discontinued in Phase 2
D0EP5O,Alzheimer disease,Terminated
D0G3AR,Alzheimer disease,Preclinical
D0M0HJ,Alzheimer disease,Discontinued in Phase 2
D0S0VZ,Alzheimer disease,Terminated
D0SP3D,Alzheimer disease,Approved
D0XM3S,Alzheimer disease,Preclinical
D0YH9A,Alzheimer disease,Preclinical
DPYA76,Alzheimer disease,Phase 1
D02NNV,Alzheimer disease,Phase 2
D03SHD,Alzheimer disease,Phase 2
DO37EF,Alzheimer disease,Phase 2
D07IGC,Alzheimer disease,Phase 1
D0K5ER,Alzheimer disease,Phase 3
D0K8IX,Alzheimer disease,Approved
D01HVZ,Alzheimer disease,Phase 1/2
D02YKI,Alzheimer disease,Phase 1
D05BWH,Alzheimer disease,Phase 2
D0M9RI,Alzheimer disease,Phase 1
D0Q5XX,Alzheimer disease,Phase 3
D02GTY,Alzheimer disease,Phase 2/3
D0E2AF,Alzheimer disease,Patented
D0KG9M,Alzheimer disease,Patented
D02IQY,Alzheimer disease,Approved
D02AIZ,Alzheimer disease,Phase 1/2
D07QTG,Alzheimer disease,Clinical trial
D01MAU,Alzheimer disease,Phase 2
D0AB4Q,Alzheimer disease,Discontinued in Phase 2
D02YXQ,Alzheimer disease,Terminated
D07YGH,Alzheimer disease,Phase 2
D0B2NV,Alzheimer disease,Patented
D0I6ZO,Alzheimer disease,Phase 2
D0N8QK,Alzheimer disease,Phase 2
D0O0EX,Alzheimer disease,Phase 2
D0XW6Y,Alzheimer disease,Phase 2
D0OE5S,Alzheimer disease,Phase 2
DJMK69,Alzheimer disease,Phase 1/2
D0X2HJ,Alzheimer disease,Phase 1
D6ETD2,Alzheimer disease,Phase 2
D0C2HF,Alzheimer disease,Discontinued in Phase 1
D01JEU,Alzheimer disease,Approved
D0AY8D,Alzheimer disease,Phase 1
D0L1UH,Alzheimer disease,Phase 1
D3PD8C,Alzheimer disease,Phase 2/3
DI54FM,Alzheimer disease,Phase 2
D0E6KN,Alzheimer disease,Phase 1
D09ADT,Alzheimer disease,Discontinued in Phase 2
D07YNH,Alzheimer disease,Terminated
D0MC0O,Alzheimer disease,Discontinued in Phase 1
D00ECO,Alzheimer disease,Discontinued in Phase 2
D01AYX,Alzheimer disease,Phase 2/3
D04OSA,Alzheimer disease,Phase 1
D04VZS,Alzheimer disease,Phase 1
D08MHD,Alzheimer disease,Phase 3
D08TVI,Alzheimer disease,Phase 1
D0E3SX,Alzheimer disease,Preclinical
D0F8GK,Alzheimer disease,Phase 2
D0K3WN,Alzheimer disease,Terminated
D0N1BF,Alzheimer disease,Phase 1
D0O8UB,Alzheimer disease,Phase 1
D0R4KK,Alzheimer disease,Phase 3
D0T2FP,Alzheimer disease,Phase 2/3
D0XD5N,Alzheimer disease,Phase 2
D0Y0EP,Alzheimer disease,Phase 3
D0Q7SO,Alzheimer disease,Terminated
D0U1US,Alzheimer disease,Phase 1
D08QWQ,Alzheimer disease,Clinical trial
DW4O2J,Alzheimer disease,Phase 1
DW7J9D,Alzheimer disease,Phase 2
D09GRB,Alzheimer disease,Terminated
D0V3CK,Alzheimer disease,Phase 2
D02OJC,Alzheimer disease,Discontinued in Phase 3
D0EH0C,Alzheimer disease,Phase 1
D0H4YD,Alzheimer disease,Phase 2/3
D05HKB,Alzheimer disease,Terminated
D01HXA,Alzheimer disease,Phase 1/2
D02PSS,Alzheimer disease,Phase 2
D05RJG,Alzheimer disease,Patented
D06PHS,Alzheimer disease,Phase 2
D07OLO,Alzheimer disease,Terminated
D0DW5P,Alzheimer disease,Patented
D0E3JL,Alzheimer disease,Discontinued in Phase 1
D0P1WB,Alzheimer disease,Discontinued in Phase 1
D02CGY,Alzheimer disease,Terminated
D00SWQ,Alzheimer disease,Phase 2
D06MOY,Alzheimer disease,Phase 2
D0A0MJ,Alzheimer disease,Terminated
D0D0GH,Alzheimer disease,Phase 1
D0MP1M,Alzheimer disease,Phase 2
DI9X5U,Alzheimer disease,Phase 1
D00CZT,Alzheimer disease,Phase 3
D00RRU,Alzheimer disease,Approved
D01BJK,Alzheimer disease,Investigative
D01GAZ,Alzheimer disease,Investigative
D01QLM,Alzheimer disease,Phase 0
D01ZSP,Alzheimer disease,Phase 1
D02XKK,Alzheimer disease,Phase 2
D04QXW,Alzheimer disease,Investigative
D04TPS,Alzheimer disease,Investigative
D04ZTA,Alzheimer disease,Investigative
D05ORO,Alzheimer disease,Phase 1
D06BVT,Alzheimer disease,Discontinued in Phase 2
D06KWU,Alzheimer disease,Phase 1
D06LRQ,Alzheimer disease,Investigative
D06MBR,Alzheimer disease,Investigative
D06XVR,Alzheimer disease,Approved
D07DNV,Alzheimer disease,Investigative
D07JKA,Alzheimer disease,Investigative
D07VAI,Alzheimer disease,Phase 2
D07YAC,Alzheimer disease,Investigative
D07ZDG,Alzheimer disease,Investigative
D09DLP,Alzheimer disease,Phase 3
D09MRY,Alzheimer disease,Investigative
D0A1MX,Alzheimer disease,Phase 3
D0B4AH,Alzheimer disease,Investigative
D0B5EB,Alzheimer disease,Phase 2
D0C4WY,Alzheimer disease,Investigative
D0CH6B,Alzheimer disease,Phase 3
D0E5CX,Alzheimer disease,Investigative
D0F5UO,Alzheimer disease,Investigative
D0G4AE,Alzheimer disease,Investigative
D0G7LP,Alzheimer disease,Preclinical
D0HK7G,Alzheimer disease,Investigative
D0HRC9,Alzheimer disease,Phase 1
D0I3VT,Alzheimer disease,Phase 2/3
D0J5SD,Alzheimer disease,Investigative
D0K3SV,Alzheimer disease,Discontinued in Phase 1
D0K4WW,Alzheimer disease,Investigative
D0N9JB,Alzheimer disease,Phase 1
D0NR6T,Alzheimer disease,Phase 2
D0Q2XN,Alzheimer disease,Investigative
D0Q5VC,Alzheimer disease,Investigative
D0Q6ZQ,Alzheimer disease,Investigative
D0Q7YZ,Alzheimer disease,Phase 3
D0R6UR,Alzheimer disease,Phase 1/2
D0R7EQ,Alzheimer disease,Phase 3
D0T6KV,Alzheimer disease,Phase 2
D0TU1E,Alzheimer disease,Investigative
D0V0VI,Alzheimer disease,Phase 1
D0W0NU,Alzheimer disease,Phase 2
D0X2UK,Alzheimer disease,Phase 1
D0X4ZL,Alzheimer disease,Phase 2
D0Y4TQ,Alzheimer disease,Investigative
D0Y9ES,Alzheimer disease,Investigative
D0Z2GF,Alzheimer disease,Phase 3
D0ZX2D,Alzheimer disease,Phase 1
D1KR3N,Alzheimer disease,Phase 3
D2ZP0A,Alzheimer disease,Phase 3
D3XP8N,Alzheimer disease,Phase 2
D4YD7V,Alzheimer disease,Phase 1
DCP0I8,Alzheimer disease,Phase 1
DY6DS3,Alzheimer disease,Phase 2
D0Y8IS,Alzheimer disease,Discontinued in Phase 1
DD8L0V,Alzheimer disease,Phase 2
D0M9ER,Alzheimer disease,Terminated
D0S4YT,Alzheimer disease,Phase 2/3
D9I6QG,Alzheimer disease,Phase 3
D0W9OW,Alzheimer disease,Investigative
D0D4HO,Alzheimer disease,Phase 1
DDBY18,Alzheimer disease,Phase 2/3
D6KWF3,Alzheimer disease,Phase 1
D09XQU,Alzheimer disease,Phase 3
DGH83L,Alzheimer disease,Phase 1
