drug_id,biomarker_name
DCT2Q3,Fms-like tyrosine kinase 3 (FLT-3)
DS4JE8,Fms-like tyrosine kinase 3 (FLT-3)
D0LG8T,Fms-like tyrosine kinase 3 (FLT-3)
DNM79H,Fms-like tyrosine kinase 3 (FLT-3)
D04WHM,Fms-like tyrosine kinase 3 (FLT-3)
D07OAD,Fms-like tyrosine kinase 3 (FLT-3)
D0DJ8S,Fms-like tyrosine kinase 3 (FLT-3)
D0IQ3E,Fms-like tyrosine kinase 3 (FLT-3)
D0JW9E,Fms-like tyrosine kinase 3 (FLT-3)
D0K7FT,Fms-like tyrosine kinase 3 (FLT-3)
D0K9PC,Fms-like tyrosine kinase 3 (FLT-3)
D0WH4P,Fms-like tyrosine kinase 3 (FLT-3)
D01XWG,Fms-like tyrosine kinase 3 (FLT-3)
D0KE1F,Fms-like tyrosine kinase 3 (FLT-3)
DT3BA1,Fms-like tyrosine kinase 3 (FLT-3)
D06DCL,Fms-like tyrosine kinase 3 (FLT-3)
D08NZG,Fms-like tyrosine kinase 3 (FLT-3)
D02AAO,Fms-like tyrosine kinase 3 (FLT-3)
D0W9SL,Fms-like tyrosine kinase 3 (FLT-3)
D02ZXM,Fms-like tyrosine kinase 3 (FLT-3)
D02JEW,Fms-like tyrosine kinase 3 (FLT-3)
D02MLO,Fms-like tyrosine kinase 3 (FLT-3)
D0P2ZY,Fms-like tyrosine kinase 3 (FLT-3)
D0RG8Z,Fms-like tyrosine kinase 3 (FLT-3)
D0RX7Z,Fms-like tyrosine kinase 3 (FLT-3)
DM9GO4,Fms-like tyrosine kinase 3 (FLT-3)
D0L3KA,Fms-like tyrosine kinase 3 (FLT-3)
D74BRK,Fms-like tyrosine kinase 3 (FLT-3)
DBY42T,Fms-like tyrosine kinase 3 (FLT-3)
DP63FS,Fms-like tyrosine kinase 3 (FLT-3)
D05LGX,Fms-like tyrosine kinase 3 (FLT-3)
D0R8IE,Fms-like tyrosine kinase 3 (FLT-3)
D0T9SJ,Fms-like tyrosine kinase 3 (FLT-3)
D0I7PU,Fms-like tyrosine kinase 3 (FLT-3)
D08YHE,Fms-like tyrosine kinase 3 (FLT-3)
D0NC9M,Fms-like tyrosine kinase 3 (FLT-3)
D0QR2K,Fms-like tyrosine kinase 3 (FLT-3)
D04JSI,Fms-like tyrosine kinase 3 (FLT-3)
D01KKI,Fms-like tyrosine kinase 3 (FLT-3)
D03HSA,Fms-like tyrosine kinase 3 (FLT-3)
D04MGW,Fms-like tyrosine kinase 3 (FLT-3)
D06EWO,Fms-like tyrosine kinase 3 (FLT-3)
D0C4GN,Fms-like tyrosine kinase 3 (FLT-3)
D0G9MY,Fms-like tyrosine kinase 3 (FLT-3)
D0IJ1D,Fms-like tyrosine kinase 3 (FLT-3)
D0JT0U,Fms-like tyrosine kinase 3 (FLT-3)
D0LP7U,Fms-like tyrosine kinase 3 (FLT-3)
D0P6YN,Fms-like tyrosine kinase 3 (FLT-3)
D0TV6H,Fms-like tyrosine kinase 3 (FLT-3)
D0W2BF,Fms-like tyrosine kinase 3 (FLT-3)
D5T9GZ,Fms-like tyrosine kinase 3 (FLT-3)
D8AOC1,Fms-like tyrosine kinase 3 (FLT-3)
D9OZ3B,Fms-like tyrosine kinase 3 (FLT-3)
DB4C5H,Fms-like tyrosine kinase 3 (FLT-3)
DNS2P1,Fms-like tyrosine kinase 3 (FLT-3)
DQD1T2,Fms-like tyrosine kinase 3 (FLT-3)
DSI4G9,Fms-like tyrosine kinase 3 (FLT-3)
DMKG40,Fms-like tyrosine kinase 3 (FLT-3)
D01LVE,Fms-like tyrosine kinase 3 (FLT-3)
D02YNI,Fms-like tyrosine kinase 3 (FLT-3)
D05ICT,Fms-like tyrosine kinase 3 (FLT-3)
D07GHA,Fms-like tyrosine kinase 3 (FLT-3)
D00BYM,Fms-like tyrosine kinase 3 (FLT-3)
D03HUX,Fms-like tyrosine kinase 3 (FLT-3)
D0O0LQ,Fms-like tyrosine kinase 3 (FLT-3)
DK26FL,Fms-like tyrosine kinase 3 (FLT-3)
D08BBL,Fms-like tyrosine kinase 3 (FLT-3)
DC8EN0,Fms-like tyrosine kinase 3 (FLT-3)
D0LF1U,Fms-like tyrosine kinase 3 (FLT-3)
D08MKR,Fms-like tyrosine kinase 3 (FLT-3)
D0JF9Z,Fms-like tyrosine kinase 3 (FLT-3)
D0Z2ZY,Fms-like tyrosine kinase 3 (FLT-3)
DVZ6M1,Fms-like tyrosine kinase 3 (FLT-3)
D0OQ5R,Fms-like tyrosine kinase 3 (FLT-3)
D0P5IZ,Fms-like tyrosine kinase 3 (FLT-3)
D00ABO,Fms-like tyrosine kinase 3 (FLT-3)
D07NVU,Fms-like tyrosine kinase 3 (FLT-3)
D0S5FF,Fms-like tyrosine kinase 3 (FLT-3)
D0FD7H,Fms-like tyrosine kinase 3 (FLT-3)
D0X8ID,Fms-like tyrosine kinase 3 (FLT-3)
D00LNW,Fms-like tyrosine kinase 3 (FLT-3)
D00RYU,Fms-like tyrosine kinase 3 (FLT-3)
D0J1GR,Fms-like tyrosine kinase 3 (FLT-3)
D07AYI,Fms-like tyrosine kinase 3 (FLT-3)
D0VH4T,Fms-like tyrosine kinase 3 (FLT-3)
D0IM6T,Fms-like tyrosine kinase 3 (FLT-3)
D0E0SH,Fms-like tyrosine kinase 3 (FLT-3)
D0TS2B,Fms-like tyrosine kinase 3 (FLT-3)
D0M2TS,Fms-like tyrosine kinase 3 (FLT-3)
D2GY5C,Fms-like tyrosine kinase 3 (FLT-3)
D7QHV6,Fms-like tyrosine kinase 3 (FLT-3)
D91CMX,Fms-like tyrosine kinase 3 (FLT-3)
D9TG4H,Fms-like tyrosine kinase 3 (FLT-3)
DHWF68,Fms-like tyrosine kinase 3 (FLT-3)
DL1FG3,Fms-like tyrosine kinase 3 (FLT-3)
D07NVI,Fms-like tyrosine kinase 3 (FLT-3)
D0N3XT,Fms-like tyrosine kinase 3 (FLT-3)
D08FIX,Fms-like tyrosine kinase 3 (FLT-3)
D0G9AW,Fms-like tyrosine kinase 3 (FLT-3)
DI1VM3,Fms-like tyrosine kinase 3 (FLT-3)
D0L2UQ,Fms-like tyrosine kinase 3 (FLT-3)
D0V0SL,Fms-like tyrosine kinase 3 (FLT-3)
D08ABX,Fms-like tyrosine kinase 3 (FLT-3)
D0NY1Y,Fms-like tyrosine kinase 3 (FLT-3)
D0X7CV,Fms-like tyrosine kinase 3 (FLT-3)
D6H9TE,Fms-like tyrosine kinase 3 (FLT-3)
D0I7IB,Fms-like tyrosine kinase 3 (FLT-3)
D07DCG,Fms-like tyrosine kinase 3 (FLT-3)
D07VYP,Fms-like tyrosine kinase 3 (FLT-3)
D0Z1DH,Fms-like tyrosine kinase 3 (FLT-3)
D00QWK,Fms-like tyrosine kinase 3 (FLT-3)
D04GGG,Fms-like tyrosine kinase 3 (FLT-3)
D0RF4J,Fms-like tyrosine kinase 3 (FLT-3)
D4UQ2B,Fms-like tyrosine kinase 3 (FLT-3)
DW01LJ,Fms-like tyrosine kinase 3 (FLT-3)
D07TWK,Fms-like tyrosine kinase 3 (FLT-3)
D00HAN,Fms-like tyrosine kinase 3 (FLT-3)
D04MLR,Fms-like tyrosine kinase 3 (FLT-3)
D07MGC,Fms-like tyrosine kinase 3 (FLT-3)
D0AW4T,Fms-like tyrosine kinase 3 (FLT-3)
D0C3JB,Fms-like tyrosine kinase 3 (FLT-3)
D0H8UT,Fms-like tyrosine kinase 3 (FLT-3)
D0JX7M,Fms-like tyrosine kinase 3 (FLT-3)
D0N4VG,Fms-like tyrosine kinase 3 (FLT-3)
D0N6PE,Fms-like tyrosine kinase 3 (FLT-3)
D0R5NU,Fms-like tyrosine kinase 3 (FLT-3)
D0R7NI,Fms-like tyrosine kinase 3 (FLT-3)
D0YA1B,Fms-like tyrosine kinase 3 (FLT-3)
D0Z7QK,Fms-like tyrosine kinase 3 (FLT-3)
D03PWD,Fms-like tyrosine kinase 3 (FLT-3)
D0M0OT,Fms-like tyrosine kinase 3 (FLT-3)
D0V2ZC,Fms-like tyrosine kinase 3 (FLT-3)
D04KZY,Fms-like tyrosine kinase 3 (FLT-3)
D07KYT,Fms-like tyrosine kinase 3 (FLT-3)
D07ZNF,Fms-like tyrosine kinase 3 (FLT-3)
D0D0TQ,Fms-like tyrosine kinase 3 (FLT-3)
D0V9WF,Fms-like tyrosine kinase 3 (FLT-3)
D0YQ9I,Fms-like tyrosine kinase 3 (FLT-3)
D28HJI,Fms-like tyrosine kinase 3 (FLT-3)
DIA08F,Fms-like tyrosine kinase 3 (FLT-3)
D01CEQ,Fms-like tyrosine kinase 3 (FLT-3)
D0T6IN,Fms-like tyrosine kinase 3 (FLT-3)
D0S7HM,Fms-like tyrosine kinase 3 (FLT-3)
D0OY9L,Fms-like tyrosine kinase 3 (FLT-3)
D0K4VW,Fms-like tyrosine kinase 3 (FLT-3)
D0X9VR,Fms-like tyrosine kinase 3 (FLT-3)
D0Y5QA,Fms-like tyrosine kinase 3 (FLT-3)
D0ZA1K,Fms-like tyrosine kinase 3 (FLT-3)
D0V5AL,Fms-like tyrosine kinase 3 (FLT-3)
D03UBW,Fms-like tyrosine kinase 3 (FLT-3)
D0I6RI,Fms-like tyrosine kinase 3 (FLT-3)
D03HML,Fms-like tyrosine kinase 3 (FLT-3)
D0V6WW,Fms-like tyrosine kinase 3 (FLT-3)
D0YH5L,Fms-like tyrosine kinase 3 (FLT-3)
D0A1IL,Fms-like tyrosine kinase 3 (FLT-3)
D0J9UN,Fms-like tyrosine kinase 3 (FLT-3)
D02BVW,Fms-like tyrosine kinase 3 (FLT-3)
D0C6GK,Fms-like tyrosine kinase 3 (FLT-3)
D0KS6F,Fms-like tyrosine kinase 3 (FLT-3)
D0A2BO,Fms-like tyrosine kinase 3 (FLT-3)
D0Q5KZ,Fms-like tyrosine kinase 3 (FLT-3)
D0C6RM,Fms-like tyrosine kinase 3 (FLT-3)
D0B5HS,Fms-like tyrosine kinase 3 (FLT-3)
D0HY3D,Fms-like tyrosine kinase 3 (FLT-3)
D0LC5L,Fms-like tyrosine kinase 3 (FLT-3)
D0T6CN,Fms-like tyrosine kinase 3 (FLT-3)
D0Z8JR,Fms-like tyrosine kinase 3 (FLT-3)
D00NVM,Fms-like tyrosine kinase 3 (FLT-3)
D01UBX,Fms-like tyrosine kinase 3 (FLT-3)
D01XDL,Fms-like tyrosine kinase 3 (FLT-3)
DB5O1U,Fms-like tyrosine kinase 3 (FLT-3)
D09JYL,Fms-like tyrosine kinase 3 (FLT-3)
DI8WC4,Fms-like tyrosine kinase 3 (FLT-3)
D4UFT5,Fms-like tyrosine kinase 3 (FLT-3)
D0YM2K,Fms-like tyrosine kinase 3 (FLT-3)
D0K4MH,
D08ZEB,
D02LDN,
DK8BS7,
D00QBV,
D01NJE,
D0G1SN,
D0B7YT,
D0M7LV,
D06CWZ,
D05MOZ,
D0W6LI,
D0H2UB,C-X-C motif chemokine 10 (CXCL10)
D0H2UB,Interferon-gamma (IFNG)
D0H2UB,Interleukin-10 (IL10)
D0H2UB,Interleukin-6 (IL6)
D0X7JR,C-X-C motif chemokine 10 (CXCL10)
D0X7JR,Interferon-gamma (IFNG)
D0X7JR,Interleukin-10 (IL10)
D0X7JR,Interleukin-6 (IL6)
DU10JI,
D0E3EK,
D0H2DS,
D02TUL,
D6INZ9,
D6N5UC,
D06AVN,
D0O8SY,
DD3IE7,
D0Q2XF,
D0Q5QE,
D0E2QC,
D0I9AC,
DVT3F8,
D0S7KA,
DR7EV6,
D0X9FO,
D0R4OD,
D0E6AH,AIx-42
D0E6AH,B-Amyloid
D0E6AH,disproportionate atrophy
D0E6AH,Tau protein
D0E6AH,11C-(R)-PK11195
D0E6AH,123I-5IA-85380
D0E6AH,123I-IBVM
D0E6AH,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D0E6AH,AIo
D0E6AH,Arterial spin labeling (ASL)
D0E6AH,Choline
D0E6AH,Creatine
D0E6AH,Diffusion tensor imaging (DTI)
D0E6AH,florbetapir
D0E6AH,Glutamate
D0E6AH,Glutamine
D0E6AH,Isoprostanes
D0E6AH,longitudinal MRI volumetric data
D0E6AH,medial temporal lobe (MTL)
D0E6AH,Myoinositol
D0E6AH,Phosphocreatine
D0E6AH,P-tau 231
D0E6AH,Regional blood oxygen level dependent (BOLD)
D0E6AH,AI40
D0E6AH,pTau181
D0E6AH,PTau199
D0E6AH,PTau231
D0E6AH,age
D0E6AH,123I-quinuclidinyl benzilate (123I-QNB)
D0E6AH,123I-quinuclidinylbenzilate (123I-QNB)
D0E6AH,18F-fluorodeoxyglucose (FDG)
D0E6AH,Adapter protein X11beta (APBA2)
D0E6AH,Apolipoprotein E (APOE)
D0E6AH,Florbetaben (18F-BAY94-9172)
D0E6AH,Microtubule-associated protein tau (MAPT)
D0E6AH,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D0E6AH,Monocyte chemotactic and activating factor (CCL2)
D0E6AH,N-acetyl aspartate (NAA)
D0E6AH,Pittsburgh compound B(PIB)
D08VJI,AIx-42
D0B3ZF,AIx-42
D08VJI,B-Amyloid
D0B3ZF,B-Amyloid
D08VJI,disproportionate atrophy
D0B3ZF,disproportionate atrophy
D08VJI,Tau protein
D0B3ZF,Tau protein
D08VJI,11C-(R)-PK11195
D0B3ZF,11C-(R)-PK11195
D08VJI,123I-5IA-85380
D0B3ZF,123I-5IA-85380
D08VJI,123I-IBVM
D0B3ZF,123I-IBVM
D08VJI,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D0B3ZF,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D08VJI,AIo
D0B3ZF,AIo
D08VJI,Arterial spin labeling (ASL)
D0B3ZF,Arterial spin labeling (ASL)
D08VJI,Choline
D0B3ZF,Choline
D08VJI,Creatine
D0B3ZF,Creatine
D08VJI,Diffusion tensor imaging (DTI)
D0B3ZF,Diffusion tensor imaging (DTI)
D08VJI,florbetapir
D0B3ZF,florbetapir
D08VJI,Glutamate
D0B3ZF,Glutamate
D08VJI,Glutamine
D0B3ZF,Glutamine
D08VJI,Isoprostanes
D0B3ZF,Isoprostanes
D08VJI,longitudinal MRI volumetric data
D0B3ZF,longitudinal MRI volumetric data
D08VJI,medial temporal lobe (MTL)
D0B3ZF,medial temporal lobe (MTL)
D08VJI,Myoinositol
D0B3ZF,Myoinositol
D08VJI,Phosphocreatine
D0B3ZF,Phosphocreatine
D08VJI,P-tau 231
D0B3ZF,P-tau 231
D08VJI,Regional blood oxygen level dependent (BOLD)
D0B3ZF,Regional blood oxygen level dependent (BOLD)
D08VJI,AI40
D0B3ZF,AI40
D08VJI,pTau181
D0B3ZF,pTau181
D08VJI,PTau199
D0B3ZF,PTau199
D08VJI,PTau231
D0B3ZF,PTau231
D08VJI,age
D0B3ZF,age
D08VJI,123I-quinuclidinyl benzilate (123I-QNB)
D0B3ZF,123I-quinuclidinyl benzilate (123I-QNB)
D08VJI,123I-quinuclidinylbenzilate (123I-QNB)
D0B3ZF,123I-quinuclidinylbenzilate (123I-QNB)
D08VJI,18F-fluorodeoxyglucose (FDG)
D0B3ZF,18F-fluorodeoxyglucose (FDG)
D08VJI,Adapter protein X11beta (APBA2)
D0B3ZF,Adapter protein X11beta (APBA2)
D08VJI,Apolipoprotein E (APOE)
D0B3ZF,Apolipoprotein E (APOE)
D08VJI,Florbetaben (18F-BAY94-9172)
D0B3ZF,Florbetaben (18F-BAY94-9172)
D08VJI,Microtubule-associated protein tau (MAPT)
D0B3ZF,Microtubule-associated protein tau (MAPT)
D08VJI,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D0B3ZF,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D08VJI,Monocyte chemotactic and activating factor (CCL2)
D0B3ZF,Monocyte chemotactic and activating factor (CCL2)
D08VJI,N-acetyl aspartate (NAA)
D0B3ZF,N-acetyl aspartate (NAA)
D08VJI,Pittsburgh compound B(PIB)
D0B3ZF,Pittsburgh compound B(PIB)
D04RDT,AIx-42
D04RDT,B-Amyloid
D04RDT,disproportionate atrophy
D04RDT,Tau protein
D04RDT,11C-(R)-PK11195
D04RDT,123I-5IA-85380
D04RDT,123I-IBVM
D04RDT,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D04RDT,AIo
D04RDT,Arterial spin labeling (ASL)
D04RDT,Choline
D04RDT,Creatine
D04RDT,Diffusion tensor imaging (DTI)
D04RDT,florbetapir
D04RDT,Glutamate
D04RDT,Glutamine
D04RDT,Isoprostanes
D04RDT,longitudinal MRI volumetric data
D04RDT,medial temporal lobe (MTL)
D04RDT,Myoinositol
D04RDT,Phosphocreatine
D04RDT,P-tau 231
D04RDT,Regional blood oxygen level dependent (BOLD)
D04RDT,AI40
D04RDT,pTau181
D04RDT,PTau199
D04RDT,PTau231
D04RDT,age
D04RDT,123I-quinuclidinyl benzilate (123I-QNB)
D04RDT,123I-quinuclidinylbenzilate (123I-QNB)
D04RDT,18F-fluorodeoxyglucose (FDG)
D04RDT,Adapter protein X11beta (APBA2)
D04RDT,Apolipoprotein E (APOE)
D04RDT,Florbetaben (18F-BAY94-9172)
D04RDT,Microtubule-associated protein tau (MAPT)
D04RDT,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D04RDT,Monocyte chemotactic and activating factor (CCL2)
D04RDT,N-acetyl aspartate (NAA)
D04RDT,Pittsburgh compound B(PIB)
D00DRL,AIx-42
D00DRL,B-Amyloid
D00DRL,disproportionate atrophy
D00DRL,Tau protein
D00DRL,11C-(R)-PK11195
D00DRL,123I-5IA-85380
D00DRL,123I-IBVM
D00DRL,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D00DRL,AIo
D00DRL,Arterial spin labeling (ASL)
D00DRL,Choline
D00DRL,Creatine
D00DRL,Diffusion tensor imaging (DTI)
D00DRL,florbetapir
D00DRL,Glutamate
D00DRL,Glutamine
D00DRL,Isoprostanes
D00DRL,longitudinal MRI volumetric data
D00DRL,medial temporal lobe (MTL)
D00DRL,Myoinositol
D00DRL,Phosphocreatine
D00DRL,P-tau 231
D00DRL,Regional blood oxygen level dependent (BOLD)
D00DRL,AI40
D00DRL,pTau181
D00DRL,PTau199
D00DRL,PTau231
D00DRL,age
D00DRL,123I-quinuclidinyl benzilate (123I-QNB)
D00DRL,123I-quinuclidinylbenzilate (123I-QNB)
D00DRL,18F-fluorodeoxyglucose (FDG)
D00DRL,Adapter protein X11beta (APBA2)
D00DRL,Apolipoprotein E (APOE)
D00DRL,Florbetaben (18F-BAY94-9172)
D00DRL,Microtubule-associated protein tau (MAPT)
D00DRL,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D00DRL,Monocyte chemotactic and activating factor (CCL2)
D00DRL,N-acetyl aspartate (NAA)
D00DRL,Pittsburgh compound B(PIB)
D0IZ8X,AIx-42
D0IZ8X,B-Amyloid
D0IZ8X,disproportionate atrophy
D0IZ8X,Tau protein
D0IZ8X,11C-(R)-PK11195
D0IZ8X,123I-5IA-85380
D0IZ8X,123I-IBVM
D0IZ8X,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D0IZ8X,AIo
D0IZ8X,Arterial spin labeling (ASL)
D0IZ8X,Choline
D0IZ8X,Creatine
D0IZ8X,Diffusion tensor imaging (DTI)
D0IZ8X,florbetapir
D0IZ8X,Glutamate
D0IZ8X,Glutamine
D0IZ8X,Isoprostanes
D0IZ8X,longitudinal MRI volumetric data
D0IZ8X,medial temporal lobe (MTL)
D0IZ8X,Myoinositol
D0IZ8X,Phosphocreatine
D0IZ8X,P-tau 231
D0IZ8X,Regional blood oxygen level dependent (BOLD)
D0IZ8X,AI40
D0IZ8X,pTau181
D0IZ8X,PTau199
D0IZ8X,PTau231
D0IZ8X,age
D0IZ8X,123I-quinuclidinyl benzilate (123I-QNB)
D0IZ8X,123I-quinuclidinylbenzilate (123I-QNB)
D0IZ8X,18F-fluorodeoxyglucose (FDG)
D0IZ8X,Adapter protein X11beta (APBA2)
D0IZ8X,Apolipoprotein E (APOE)
D0IZ8X,Florbetaben (18F-BAY94-9172)
D0IZ8X,Microtubule-associated protein tau (MAPT)
D0IZ8X,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D0IZ8X,Monocyte chemotactic and activating factor (CCL2)
D0IZ8X,N-acetyl aspartate (NAA)
D0IZ8X,Pittsburgh compound B(PIB)
D05XEA,AIx-42
D05XEA,B-Amyloid
D05XEA,disproportionate atrophy
D05XEA,Tau protein
D05XEA,11C-(R)-PK11195
D05XEA,123I-5IA-85380
D05XEA,123I-IBVM
D05XEA,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D05XEA,AIo
D05XEA,Arterial spin labeling (ASL)
D05XEA,Choline
D05XEA,Creatine
D05XEA,Diffusion tensor imaging (DTI)
D05XEA,florbetapir
D05XEA,Glutamate
D05XEA,Glutamine
D05XEA,Isoprostanes
D05XEA,longitudinal MRI volumetric data
D05XEA,medial temporal lobe (MTL)
D05XEA,Myoinositol
D05XEA,Phosphocreatine
D05XEA,P-tau 231
D05XEA,Regional blood oxygen level dependent (BOLD)
D05XEA,AI40
D05XEA,pTau181
D05XEA,PTau199
D05XEA,PTau231
D05XEA,age
D05XEA,123I-quinuclidinyl benzilate (123I-QNB)
D05XEA,123I-quinuclidinylbenzilate (123I-QNB)
D05XEA,18F-fluorodeoxyglucose (FDG)
D05XEA,Adapter protein X11beta (APBA2)
D05XEA,Apolipoprotein E (APOE)
D05XEA,Florbetaben (18F-BAY94-9172)
D05XEA,Microtubule-associated protein tau (MAPT)
D05XEA,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D05XEA,Monocyte chemotactic and activating factor (CCL2)
D05XEA,N-acetyl aspartate (NAA)
D05XEA,Pittsburgh compound B(PIB)
D00MBY,AIx-42
D00MBY,B-Amyloid
D00MBY,disproportionate atrophy
D00MBY,Tau protein
D00MBY,11C-(R)-PK11195
D00MBY,123I-5IA-85380
D00MBY,123I-IBVM
D00MBY,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D00MBY,AIo
D00MBY,Arterial spin labeling (ASL)
D00MBY,Choline
D00MBY,Creatine
D00MBY,Diffusion tensor imaging (DTI)
D00MBY,florbetapir
D00MBY,Glutamate
D00MBY,Glutamine
D00MBY,Isoprostanes
D00MBY,longitudinal MRI volumetric data
D00MBY,medial temporal lobe (MTL)
D00MBY,Myoinositol
D00MBY,Phosphocreatine
D00MBY,P-tau 231
D00MBY,Regional blood oxygen level dependent (BOLD)
D00MBY,AI40
D00MBY,pTau181
D00MBY,PTau199
D00MBY,PTau231
D00MBY,age
D00MBY,123I-quinuclidinyl benzilate (123I-QNB)
D00MBY,123I-quinuclidinylbenzilate (123I-QNB)
D00MBY,18F-fluorodeoxyglucose (FDG)
D00MBY,Adapter protein X11beta (APBA2)
D00MBY,Apolipoprotein E (APOE)
D00MBY,Florbetaben (18F-BAY94-9172)
D00MBY,Microtubule-associated protein tau (MAPT)
D00MBY,Mitochondrial import receptor subunit TOM40 homolog (TOMM40)
D00MBY,Monocyte chemotactic and activating factor (CCL2)
D00MBY,N-acetyl aspartate (NAA)
D00MBY,Pittsburgh compound B(PIB)
D09WZU,AIx-42
D0N5CW,AIx-42
D0T3DG,AIx-42
DSK7I5,AIx-42
D09WZU,B-Amyloid
D0N5CW,B-Amyloid
D0T3DG,B-Amyloid
DSK7I5,B-Amyloid
D09WZU,disproportionate atrophy
D0N5CW,disproportionate atrophy
D0T3DG,disproportionate atrophy
DSK7I5,disproportionate atrophy
D09WZU,Tau protein
D0N5CW,Tau protein
D0T3DG,Tau protein
DSK7I5,Tau protein
D09WZU,11C-(R)-PK11195
D0N5CW,11C-(R)-PK11195
D0T3DG,11C-(R)-PK11195
DSK7I5,11C-(R)-PK11195
D09WZU,123I-5IA-85380
D0N5CW,123I-5IA-85380
D0T3DG,123I-5IA-85380
DSK7I5,123I-5IA-85380
D09WZU,123I-IBVM
D0N5CW,123I-IBVM
D0T3DG,123I-IBVM
DSK7I5,123I-IBVM
D09WZU,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D0N5CW,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D0T3DG,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
DSK7I5,2-(1-{6-[(2-[F-18]fluoroethyl)(methyl)amino]-2-naphthyl}ethylidene) malononitril e (FDDNP)
D09WZU,AIo
D0N5CW,AIo
D0T3DG,AIo
DSK7I5,AIo
D09WZU,Arterial spin labeling (ASL)
